strategy,pair,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,BTC/USDT,234,109.05122208,1.3658387012464699,0.4660308635897436,46.15384615384615,2.7716518335721303,-1.8582761080950958,0.11004196429567459,0.19094108211208666,0.29510411829159905,0.4781901695414593,0.4622744076335114,0.5328819578049881
AlphaBreakout,ETH/USDT,251,177.97129712,1.5068366952005867,0.7090489925099601,50.59760956175299,3.049771869207228,-2.116470544714357,0.16433634521685073,0.17691488542706832,0.22750145987944567,0.40644944176432485,0.705408910194237,1.5080111756875283
LabBaseline,BTC/USDT,420,-52.17882266999999,0.9073019892146634,-0.12423529207142854,33.33333333333333,2.252702310782706,-1.9386661633980755,0.031110109990068788,0.20142379556615528,0.17543500286595445,0.2794079970743019,0.2816553433539017,0.21509062643601012
LabBaseline,ETH/USDT,429,-68.91283687999997,0.9037710264506722,-0.16063598340326335,36.13053613053613,2.4368695503604987,-2.262510049957431,0.0398014863130563,0.09940047980785312,0.03446062628004321,0.11570787308857088,0.2706958357013569,0.42386784805449007
V2CompressionBreakout,BTC/USDT,46,-1.0539156500000022,0.9782434515974742,-0.022911209782608744,21.73913043478261,2.0402335327239984,-1.385222737223629,0.03191443807439998,0.12157024018636532,0.14500813847208438,-0.04742665488633277,-0.30995655385372145,-0.4753726674432311
V2CompressionBreakout,ETH/USDT,31,1.743706419999999,1.0566731308249562,0.05624859419354836,25.806451612903224,2.2727640591702047,-1.3827626332952603,0.20807018070045277,0.4046847654939947,0.21423798338540637,0.5718876663997694,0.13823701203189825,-0.1626872919898313
V2RegimeAdaptive,BTC/USDT,47,-16.968064350000002,0.5226339555042131,-0.3610226457446809,44.680851063829785,0.821731509702366,-1.2512567388370321,-0.14629061257321838,-0.10944170767250588,-0.053486090630243725,-0.10751057471100268,0.5827666526480274,0.2634726620085336
V2RegimeAdaptive,ETH/USDT,37,6.785586880000002,1.222797260500917,0.18339424000000007,64.86486486486487,1.6648184925593401,-1.6773344041056288,-0.008979203879191258,0.25981380791487735,0.3796836364605711,-0.32319186406233924,0.7803416909871683,0.9608863293156163
V2TrendPullback,BTC/USDT,113,17.469666970000002,1.1225312917017938,0.15459882274336284,32.743362831858406,2.420198106028007,-1.7176708177542122,-0.03421739409887203,0.04840768979719397,-0.01857192842786514,0.130332230563758,0.0054354562033262915,0.10776262204133116
V2TrendPullback,ETH/USDT,115,15.209867209999993,1.0814035552592238,0.13225971486956517,34.78260869565217,2.771901588623927,-2.2089103681901703,-0.024199765129420802,0.017294938805390497,-0.040047116892826494,-0.22924536841117815,0.18159060696147342,0.3223936612459987
