strategy,barrier_pct,trades,favorable,adverse,tie,neither,favorable_pct_all,favorable_pct_resolved
AlphaBreakout,0.5,485,195,164,126,0,40.20618556701031,54.317548746518106
AlphaBreakout,1.0,485,250,204,31,0,51.546391752577314,55.06607929515418
AlphaBreakout,2.0,485,263,202,7,13,54.22680412371134,56.55913978494623
AlphaBreakout,3.0,485,249,174,6,56,51.340206185567006,58.86524822695035
LabBaseline,0.5,849,388,366,94,1,45.70082449941108,51.45888594164456
LabBaseline,1.0,849,410,412,22,5,48.29210836277974,49.87834549878345
LabBaseline,2.0,849,404,394,5,46,47.58539458186101,50.6265664160401
LabBaseline,3.0,849,363,342,0,144,42.75618374558304,51.48936170212765
V2CompressionBreakout,0.5,77,36,26,15,0,46.75324675324675,58.06451612903226
V2CompressionBreakout,1.0,77,40,33,4,0,51.94805194805194,54.794520547945204
V2CompressionBreakout,2.0,77,35,38,0,4,45.45454545454545,47.94520547945205
V2CompressionBreakout,3.0,77,27,34,0,16,35.064935064935064,44.26229508196721
V2RegimeAdaptive,0.5,84,29,48,7,0,34.523809523809526,37.66233766233766
V2RegimeAdaptive,1.0,84,38,45,1,0,45.23809523809524,45.78313253012048
V2RegimeAdaptive,2.0,84,36,38,0,10,42.857142857142854,48.64864864864865
V2RegimeAdaptive,3.0,84,35,28,0,21,41.66666666666667,55.55555555555556
V2TrendPullback,0.5,228,80,118,30,0,35.08771929824561,40.4040404040404
V2TrendPullback,1.0,228,105,120,3,0,46.05263157894737,46.666666666666664
V2TrendPullback,2.0,228,105,111,1,11,46.05263157894737,48.61111111111111
V2TrendPullback,3.0,228,96,103,1,28,42.10526315789473,48.24120603015075
