strategy,pair,trades,net_usdt,mean_annual_return_pct,sum_annual_return_pct,win_rate_pct,profit_factor,expectancy_usdt,positive_years,pf_above_one_years,worst_year_usdt,median_year_usdt,max_year_wallet_drawdown_pct,max_year_closed_drawdown_pct,min_year_trades,largest_positive_year_share
AlphaBreakout,ALL,485,287.0225192,7.1755629800000005,28.702251920000002,48.45360824742268,1.4420989803488253,0.5917990086597937,3,3,-27.725808709999995,87.64030465499998,4.356582545453915,3.915497026781363,95,0.4431086879034344
AlphaBreakout,BTC/USDT,234,109.05122207999997,2.7262805519999995,10.905122207999998,46.15384615384615,1.3658387012464706,0.4660308635897435,3,3,-11.525506260000002,36.31865565999999,,3.0994193031845936,43,0.39758432394036547
AlphaBreakout,ETH/USDT,251,177.97129711999997,4.449282427999999,17.797129711999997,50.59760956175299,1.5068366952005867,0.70904899250996,3,3,-16.20030245,47.005567209999995,,2.7044823703996186,52,0.5158347841384062
AlphaBreakoutHi,ALL,463,262.67192477,6.566798119249999,26.267192476999995,48.38012958963283,1.4246611565047909,0.5673259714254859,3,3,-25.66929408,71.823517085,4.258176552658,3.4876460983739728,87,0.5018158182763053
AlphaBreakoutHi,BTC/USDT,223,94.8372863,2.3709321575,9.48372863,46.63677130044843,1.332927016731155,0.42527931076233183,3,3,-11.507858100000005,34.19761515500001,,2.6194092048234174,39,0.35685610569352894
AlphaBreakoutHi,ETH/USDT,240,167.83463847,4.19586596175,16.783463847,50.0,1.5029722951005797,0.6993109936249999,2,2,-14.161435979999997,37.089283465,,2.6071070497824103,48,0.560881314832763
AlphaBreakoutLo,ALL,515,257.30553085,6.432638271250001,25.730553085000004,47.18446601941748,1.366123418572619,0.49962239,3,3,-37.151560139999994,81.6239542,5.0081825387134575,4.672389348845586,107,0.4455969531888637
AlphaBreakoutLo,BTC/USDT,246,94.90660654999999,2.37266516375,9.490660655,45.1219512195122,1.2973073884224255,0.38579921361788616,3,3,-16.890369890000002,35.008416440000005,,3.368999476489583,47,0.37371443209309746
AlphaBreakoutLo,ETH/USDT,269,162.3989243,4.0599731075,16.23989243,49.07063197026022,1.4233955734130965,0.6037134732342008,3,3,-20.261190249999995,46.61553776,,2.7272487030277537,60,0.4895925925061235
AlphaMomentum,ALL,414,-49.90441874,-1.2476104684999998,-4.990441873999999,34.29951690821256,0.9067533663673906,-0.12054207425120772,0,0,-34.597673029999996,-6.9525905350000015,5.493567572418918,5.146384291764569,66,
AlphaMomentum,BTC/USDT,201,-25.955994469999993,-0.6488998617499999,-2.5955994469999997,34.82587064676617,0.8921790869872851,-0.1291343008457711,2,2,-46.20962682,-1.5135811749999988,,4.6826798419999935,30,0.705680832203016
AlphaMomentum,ETH/USDT,213,-23.94842427000002,-0.5987106067500005,-2.394842427000002,33.80281690140845,0.9186686119787948,-0.11243391676056348,1,1,-24.68235934000001,-21.295956215,,4.017028221955341,36,1.0
AlphaMomentumHi,ALL,213,1.753709080000002,0.043842726999999984,0.17537090799999994,37.558685446009385,1.0060460124690316,0.008233375962441324,2,2,-26.801190230000003,5.748762460000003,6.36945750815546,6.300440681945988,32,0.5125953775129202
AlphaMomentumHi,BTC/USDT,108,23.42352256,0.5855880639999999,2.3423522559999994,39.81481481481482,1.193489425924946,0.21688446814814813,3,3,-33.70191341,11.667543214999997,,3.3701913409999973,17,0.5915114513567188
AlphaMomentumHi,ETH/USDT,105,-21.669813480000002,-0.541745337,-2.166981348,35.23809523809524,0.8717777959771773,-0.20637917600000003,1,1,-16.73297515,-5.918780755,,3.336790831932522,15,1.0
AlphaMomentumLo,ALL,635,-55.87356954999999,-1.3968392387499997,-5.587356954999999,34.488188976377955,0.9284060753498906,-0.0879898733070866,2,2,-45.54170684999999,-10.538444955,5.454998482069844,5.08847897156516,125,0.6845808652670814
AlphaMomentumLo,BTC/USDT,298,-26.49872388,-0.6624680970000001,-2.6498723880000004,35.90604026845637,0.92157775743269,-0.0889218922147651,2,2,-41.093098170000005,-7.884414984999999,,4.805016696940183,56,0.838827359154852
AlphaMomentumLo,ETH/USDT,337,-29.37484567000001,-0.7343711417500001,-2.9374845670000003,33.23442136498516,0.933619959254302,-0.0871657141543027,1,1,-31.861636480000005,-24.675667285,,5.258017088503243,63,1.0
AlphaReversion,ALL,2,1.07838248,0.026959562,0.107838248,100.0,,0.53919124,2,0,0.0,0.039805935,0.1965469380537172,0.0,0,0.9261747371860122
AlphaReversion,BTC/USDT,1,0.99877061,0.02496926525,0.099877061,100.0,,0.99877061,1,0,0.0,0.0,,0.0,0,1.0
AlphaReversion,ETH/USDT,1,0.07961187,0.00199029675,0.007961187,100.0,,0.07961187,1,0,0.0,0.0,,0.0,0,1.0
AlphaReversionHi,ALL,2,1.07838248,0.026959562,0.107838248,100.0,,0.53919124,2,0,0.0,0.039805935,0.1965469380537172,0.0,0,0.9261747371860122
AlphaReversionHi,BTC/USDT,1,0.99877061,0.02496926525,0.099877061,100.0,,0.99877061,1,0,0.0,0.0,,0.0,0,1.0
AlphaReversionHi,ETH/USDT,1,0.07961187,0.00199029675,0.007961187,100.0,,0.07961187,1,0,0.0,0.0,,0.0,0,1.0
AlphaReversionLo,ALL,2,1.07838248,0.026959562,0.107838248,100.0,,0.53919124,2,0,0.0,0.039805935,0.1965469380537172,0.0,0,0.9261747371860122
AlphaReversionLo,BTC/USDT,1,0.99877061,0.02496926525,0.099877061,100.0,,0.99877061,1,0,0.0,0.0,,0.0,0,1.0
AlphaReversionLo,ETH/USDT,1,0.07961187,0.00199029675,0.007961187,100.0,,0.07961187,1,0,0.0,0.0,,0.0,0,1.0
