strategy,year,pair,exit_reason,trades,wins,net_usdt,return_contribution_pct
LabBaseline,2019,ALL,roi,45,45,225.1901683,22.51901683
LabBaseline,2019,ALL,sma_cross_down,159,27,-161.70478113,-16.170478112999998
LabBaseline,2019,ALL,stop_loss,19,0,-98.65115905,-9.865115905
LabBaseline,2019,BTC/USDT,roi,18,18,90.06180285,9.006180285000001
LabBaseline,2019,BTC/USDT,sma_cross_down,84,16,-76.25487887999999,-7.625487887999999
LabBaseline,2019,BTC/USDT,stop_loss,6,0,-31.15658483,-3.115658483
LabBaseline,2019,ETH/USDT,roi,27,27,135.12836545,13.512836544999999
LabBaseline,2019,ETH/USDT,sma_cross_down,75,11,-85.44990225000001,-8.544990225000001
LabBaseline,2019,ETH/USDT,stop_loss,13,0,-67.49457422,-6.749457422000001
AlphaTrend,2019,ALL,roi,25,25,125.10769056000001,12.510769056
AlphaTrend,2019,ALL,stop_loss,5,0,-25.96454037,-2.596454037
AlphaTrend,2019,ALL,trend_exit,55,6,-61.95970115,-6.195970115
AlphaTrend,2019,BTC/USDT,roi,11,11,55.0422685,5.50422685
AlphaTrend,2019,BTC/USDT,stop_loss,3,0,-15.579883599999999,-1.55798836
AlphaTrend,2019,BTC/USDT,trend_exit,31,6,-23.03449795,-2.3034497949999997
AlphaTrend,2019,ETH/USDT,roi,14,14,70.06542206,7.006542206000001
AlphaTrend,2019,ETH/USDT,stop_loss,2,0,-10.38465677,-1.038465677
AlphaTrend,2019,ETH/USDT,trend_exit,24,0,-38.9252032,-3.89252032
AlphaTrendLo,2019,ALL,roi,31,31,155.11777505,15.511777505000001
AlphaTrendLo,2019,ALL,stop_loss,6,0,-31.15821033,-3.115821033
AlphaTrendLo,2019,ALL,trend_exit,78,8,-89.76893432,-8.976893432
AlphaTrendLo,2019,BTC/USDT,roi,14,14,70.03981187,7.003981186999999
AlphaTrendLo,2019,BTC/USDT,stop_loss,3,0,-15.579883599999999,-1.55798836
AlphaTrendLo,2019,BTC/USDT,trend_exit,45,7,-39.7541973,-3.97541973
AlphaTrendLo,2019,ETH/USDT,roi,17,17,85.07796318,8.507796318
AlphaTrendLo,2019,ETH/USDT,stop_loss,3,0,-15.57832673,-1.557832673
AlphaTrendLo,2019,ETH/USDT,trend_exit,33,1,-50.01473702,-5.001473702
AlphaTrendHi,2019,ALL,roi,17,17,85.07452944,8.507452944
AlphaTrendHi,2019,ALL,stop_loss,3,0,-15.58056634,-1.5580566340000002
AlphaTrendHi,2019,ALL,trend_exit,37,4,-44.42651595,-4.442651595
AlphaTrendHi,2019,BTC/USDT,roi,9,9,45.03175417,4.503175417
AlphaTrendHi,2019,BTC/USDT,stop_loss,2,0,-10.388218089999999,-1.0388218089999999
AlphaTrendHi,2019,BTC/USDT,trend_exit,19,4,-14.00528377,-1.400528377
AlphaTrendHi,2019,ETH/USDT,roi,8,8,40.04277527,4.004277527
AlphaTrendHi,2019,ETH/USDT,stop_loss,1,0,-5.19234825,-0.5192348250000001
AlphaTrendHi,2019,ETH/USDT,trend_exit,18,0,-30.42123218,-3.042123218
AlphaBreakout,2019,ALL,breakout_exit,63,12,-103.63212878,-10.363212878
AlphaBreakout,2019,ALL,roi,38,38,190.13458429,19.013458429
AlphaBreakout,2019,ALL,stop_loss,22,0,-114.22826422,-11.422826422
AlphaBreakout,2019,BTC/USDT,breakout_exit,33,8,-49.6501592,-4.96501592
AlphaBreakout,2019,BTC/USDT,roi,18,18,90.04825387,9.004825387
AlphaBreakout,2019,BTC/USDT,stop_loss,10,0,-51.92360093,-5.192360093
AlphaBreakout,2019,ETH/USDT,breakout_exit,30,4,-53.98196958,-5.398196958
AlphaBreakout,2019,ETH/USDT,roi,20,20,100.08633042,10.008633042
AlphaBreakout,2019,ETH/USDT,stop_loss,12,0,-62.30466329,-6.230466329
AlphaBreakoutLo,2019,ALL,breakout_exit,67,12,-113.05788021,-11.305788021
AlphaBreakoutLo,2019,ALL,roi,38,38,190.13458429,19.013458429
AlphaBreakoutLo,2019,ALL,stop_loss,22,0,-114.22826422,-11.422826422
