candidate,variant,parameter,value,trades,net_usdt,profit_factor,positive_years,worst_year_usdt,net_2019,net_2020,net_2021,net_2022
AlphaTrend,AlphaTrendLo,efficiency_min,0.25,481,-62.601260329999995,0.9049910463111649,1,-48.46430628999999,34.190630399999996,-42.36196427,-48.46430628999999,-5.965620170000003
AlphaTrend,AlphaTrend,efficiency_min,0.3,346,11.96943602000001,1.025585567747287,2,-16.990052770000002,37.183449040000006,-16.990052770000002,-12.031730339999996,3.807770090000001
AlphaTrend,AlphaTrendHi,efficiency_min,0.35,219,15.74915446,1.0543055174814984,2,-19.208583229999995,25.06744715,-19.208583229999995,-1.9261262899999998,11.816416829999996
AlphaBreakout,AlphaBreakoutLo,breakout_window,20.0,515,257.30553085,1.366123418572619,3,-37.151560139999994,-37.151560139999994,131.20918259,115.39858154999999,47.84932685000001
AlphaBreakout,AlphaBreakout,breakout_window,24.0,485,287.0225192,1.4420989803488253,3,-27.725808709999995,-27.725808709999995,139.4677186,135.06355509999997,40.21705420999999
AlphaBreakout,AlphaBreakoutHi,breakout_window,28.0,463,262.67192477,1.4246611565047909,3,-25.66929408,-25.66929408,122.36114493000001,144.69418467999998,21.285889239999996
AlphaReversion,AlphaReversionLo,stretch_atr,1.35,2,1.07838248,,2,0.0,0.07961187,0.99877061,0.0,0.0
AlphaReversion,AlphaReversion,stretch_atr,1.5,2,1.07838248,,2,0.0,0.07961187,0.99877061,0.0,0.0
AlphaReversion,AlphaReversionHi,stretch_atr,1.65,2,1.07838248,,2,0.0,0.07961187,0.99877061,0.0,0.0
AlphaSqueeze,AlphaSqueezeLo,keltner_multiplier,1.35,686,136.14880684,1.1981558785802813,3,-51.282827160000004,31.563393860000012,97.30698393,58.56125620999998,-51.282827160000004
AlphaSqueeze,AlphaSqueeze,keltner_multiplier,1.5,813,203.76690508999997,1.2547051108443767,3,-43.54304057,62.51379508999999,118.81360222999999,65.98254834,-43.54304057
AlphaSqueeze,AlphaSqueezeHi,keltner_multiplier,1.65,894,216.79440038000004,1.2404752694434757,3,-37.48464146999999,64.76414717000002,122.59942344999999,66.91547123000001,-37.48464146999999
AlphaMomentum,AlphaMomentumLo,persistence_min,0.55,635,-55.87356954999999,0.9284060753498906,2,-45.54170684999999,-26.027637669999997,4.9507477600000005,10.745027209999998,-45.54170684999999
AlphaMomentum,AlphaMomentum,persistence_min,0.6,414,-49.90441874,0.9067533663673906,0,-34.597673029999996,-11.021401750000004,-1.4015646399999957,-2.883779319999998,-34.597673029999996
AlphaMomentum,AlphaMomentumHi,persistence_min,0.65,213,1.753709080000002,1.0060460124690316,2,-26.801190230000003,16.219114510000004,17.05737439,-26.801190230000003,-4.721589589999999
