strategy,year,pair,trades,wins,losses,win_rate_pct,total_return_pct,net_usdt,average_trade_pct,profit_factor,gross_profit_usdt,gross_loss_usdt,expectancy_usdt,closed_trade_drawdown_pct,sharpe_daily_closed,sortino_daily_closed,average_duration_hours,consecutive_losses,wallet_drawdown_pct,engine_sharpe,engine_sortino,rejected_signals
LabBaseline,2019,ALL,223,72,151,32.28699551569507,-3.5165771879999985,-35.16577187999999,-0.15762080589346394,0.8770411852868051,250.83057545,285.99634733,-0.15769404430493267,9.251338175226675,-0.6764842688647091,-0.99483039458146,27.973094170403588,18,9.48312149667867,-0.6029532381248865,-1.1697605758862386,0.0
LabBaseline,2019,BTC/USDT,108,34,74,31.48148148148148,-1.7349660860000005,-17.349660860000004,-0.1606311603361302,0.8618027323450882,108.19305901,125.54271987,-0.160645007962963,4.7080783663031935,-0.5967829053013913,-0.91397517661814,30.453703703703702,9,,,,
LabBaseline,2019,ETH/USDT,115,38,77,33.04347826086956,-1.781611102,-17.81611102,-0.15479369041687277,0.888964111924229,142.63751644,160.45362746000004,-0.15492270452173915,5.15424801280323,-0.5052148929437061,-0.7554089373974081,25.643478260869568,12,,,,
AlphaTrend,2019,ALL,85,31,54,36.470588235294116,3.7183449040000007,37.183449040000006,0.4370162607995519,1.3960139450487399,131.07774116000002,93.89429212,0.4374523416470589,1.9626186714283775,1.1655650477612391,2.350675951357631,19.8,11,1.9318495368739907,0.6026774837172917,1.391734549139988,0.0
AlphaTrend,2019,BTC/USDT,45,17,28,37.77777777777778,1.6427886949999997,16.427886949999998,0.36469835539119566,1.3684668876061934,61.0123191,44.58443215,0.3650641544444444,1.6292716590000054,0.7680415968415024,1.4769905101750973,22.755555555555553,12,,,,
AlphaTrend,2019,ETH/USDT,40,14,26,35.0,2.0755562089999997,20.755562089999998,0.5183739043839529,1.4209211322568678,70.06542206,49.309859970000005,0.5188890522499999,1.1826159996033558,0.9319618279475108,1.7227254648208699,16.475,7,,,,
AlphaTrendLo,2019,ALL,115,39,76,33.91304347826087,3.4190630399999997,34.190630399999996,0.29707561733772114,1.2633843535867106,164.00331644,129.81268604,0.29730982956521734,2.9807550020336846,0.9504480646143223,1.8665879354106825,17.973913043478262,11,3.1704010371262124,0.5692010826478895,1.3327168911757077,0.0
AlphaTrendLo,2019,BTC/USDT,62,21,41,33.87096774193548,1.470573097,14.70573097,0.23705449279019342,1.2342184030665029,77.49213365,62.78640268,0.23718920919354838,1.924018964000004,0.6140805100056986,1.1551901013101153,20.709677419354836,15,,,,
AlphaTrendLo,2019,ETH/USDT,53,18,35,33.9622641509434,1.9484899430000007,19.484899430000006,0.3672890083178478,1.2907053539780222,86.51118279,67.02628336,0.36763961188679256,2.081734926092511,0.779257431771356,1.389245663899059,14.773584905660378,8,,,,
AlphaTrendHi,2019,ALL,57,21,36,36.84210526315789,2.506744715,25.06744715,0.43945131730339076,1.393763316187841,88.72865204,63.66120489,0.4397797745614035,1.8461805005312157,0.9107225827958939,1.7619406418230363,22.80701754385965,9,1.9774767942654439,0.4027714661290628,0.9206423249384225,0.0
AlphaTrendHi,2019,BTC/USDT,30,13,17,43.333333333333336,2.0638252310000005,20.638252310000006,0.687466038115645,1.735828887734616,48.68587677000001,28.047624459999998,0.6879417436666668,1.178895847000001,1.0856869916424665,2.2839533205891223,26.433333333333334,7,,,,
AlphaTrendHi,2019,ETH/USDT,27,8,19,29.629629629629626,0.4429194839999998,4.429194839999998,0.16387940528977474,1.1243681423356402,40.04277527000001,35.61358043,0.16404425333333328,1.4204195901860641,0.2535085676161103,0.434223332225454,18.77777777777778,6,,,,
AlphaBreakout,2019,ALL,123,50,73,40.65040650406504,-2.7725808709999997,-27.725808709999995,-0.2251884322075285,0.8766578862493845,197.06204247,224.78785118,-0.2254130789430894,3.915497026781363,-0.6755330460444278,-0.9886485712166222,23.772357723577233,9,4.356582545453915,-0.37402852926921454,-0.8578308021866199,0.0
AlphaBreakout,2019,BTC/USDT,61,26,35,42.62295081967213,-1.1525506260000002,-11.525506260000002,-0.18873558697137796,0.8905362553689155,93.76512032,105.29062658,-0.18894272557377054,3.0994193031845936,-0.4239468298969232,-0.6363541753780028,25.311475409836067,4,,,,
AlphaBreakout,2019,ETH/USDT,62,24,38,38.70967741935484,-1.620030245,-16.20030245,-0.26105332832696704,0.8644294668413579,103.29692215,119.49722460000001,-0.2612952008064516,2.7044823703996186,-0.5603742876397967,-0.7790612228542821,22.258064516129032,5,,,,
