trades,wins,losses,win_rate_pct,net_usdt,total_return_pct,average_trade_pct,profit_factor,expectancy_usdt,average_duration_hours,maximum_consecutive_losses,closed_trade_drawdown_pct,top5_net_usdt,top10_net_usdt,top5_gross_profit_share,top10_gross_profit_share,top5_net_share,top10_net_share,strategy,profitable_years,near_flat_years,pf_above_one_years,worst_year_usdt,max_annual_wallet_drawdown_pct,largest_positive_year_share
228,77,151,33.771929824561404,32.67953417999999,3.267953417999999,0.14287987337988334,1.0992037450114147,0.14333129026315786,18.596491228070178,11,5.3037076924311,30.03166138,60.057681970000004,0.08293796384296616,0.16586034960548096,0.9189745855796041,1.8377765619056943,V2TrendPullback,2,0,2,-19.66061681999999,3.2338047192070896,0.9247537918492514
77,18,59,23.376623376623375,0.6897907699999968,0.06897907699999968,0.009495037959718412,1.0087084802068536,0.008958321688311647,10.792207792207792,13,1.8259926052642304,30.01975743,60.00478975,0.37572188884320556,0.7510091644504479,43.520091505428724,86.98984149932926,V2CompressionBreakout,2,2,2,-8.76603438,1.8259926052642304,0.8441431813440664
84,45,39,53.57142857142857,-10.18247747,-1.018247747,-0.12124718853980777,0.8457235795148134,-0.12121996988095238,7.821428571428571,5,1.8836123453613745,16.23711984,27.21692402,0.2908885673930788,0.48759214165066334,,,V2RegimeAdaptive,1,1,1,-8.38225288,0.9632307879999984,1.0
230,77,153,33.47826086956522,29.1134844,2.9113484400000003,0.12613614702767967,1.0874319765629008,0.12658036695652175,18.478260869565215,11,5.321295942826927,30.03166138,60.057681970000004,0.08293796384296616,0.16586034960548096,1.0315378594806741,2.062881967161581,V2TrendPullbackLo,2,0,2,-19.66061681999999,3.2338047192070896,0.9225435973314472
221,74,147,33.4841628959276,29.61002054999999,2.961002054999999,0.13359271354946925,1.0915558633275313,0.13398199343891398,18.64705882352941,11,5.08981447523729,30.03166138,60.057681970000004,0.08507086427134251,0.1701257498435914,1.014239802005136,2.0282891012718336,V2TrendPullbackHi,1,2,1,-19.458800719999996,3.2136580555234886,1.0
69,16,53,23.18840579710145,6.625977600000005,0.6625977600000005,0.0966347788753391,1.094383306224552,0.0960286608695653,10.63768115942029,13,1.8259926052642304,30.01975743,60.00478975,0.3907355644214021,0.7810191486598503,4.530615592482531,9.055990432264661,V2CompressionBreakoutLo,3,1,3,-8.76603438,1.8259926052642304,0.5779659762193089
86,20,66,23.25581395348837,1.4049948599999988,0.1404994859999999,0.01690692617917315,1.0159882751261216,0.01633714953488371,11.186046511627906,13,1.8722276656290133,30.01975743,60.01378838,0.3362368901004666,0.6721856302500684,21.36645356126073,42.71459639361247,V2CompressionBreakoutHi,2,0,2,-11.784227479999998,1.8289002810715038,0.5492801083867429
84,45,39,53.57142857142857,-10.18247747,-1.018247747,-0.12124718853980777,0.8457235795148134,-0.12121996988095238,7.821428571428571,5,1.8836123453613745,16.23711984,27.21692402,0.2908885673930788,0.48759214165066334,,,V2RegimeAdaptiveLo,1,1,1,-8.38225288,0.9632307879999984,1.0
84,45,39,53.57142857142857,-10.18247747,-1.018247747,-0.12124718853980777,0.8457235795148134,-0.12121996988095238,7.821428571428571,5,1.8836123453613745,16.23711984,27.21692402,0.2908885673930788,0.48759214165066334,,,V2RegimeAdaptiveHi,1,1,1,-8.38225288,0.9632307879999984,1.0
849,295,554,34.746760895170794,-121.09165955000005,-12.109165955000005,-0.1427124071136698,0.9053249804940069,-0.14262857426383987,26.87279151943463,25,18.84410668912568,25.038508909999997,50.06980534,0.02162345716842375,0.04324068558125672,,,LabBaseline,1,0,1,-98.38880974,10.876934538244916,1.0
485,235,250,48.45360824742268,287.02251920000003,28.702251920000002,0.5915369342354327,1.4420989803488253,0.5917990086597938,23.721649484536083,11,3.915497026781363,25.035498970000003,50.064819240000006,0.0267402044263654,0.05347380943558769,0.08722485970710551,0.17442819253187017,AlphaBreakout,3,0,3,-27.725808709999995,3.915497026781363,0.4431086879034344
