year,strategy,exit_reason,trades,net_usdt
2019,V2TrendPullback,roi,10,60.043596889999996
2019,V2TrendPullback,stop_loss,2,-12.385320400000001
2019,V2TrendPullback,trend_pullback_structural_exit,31,-43.34852771
2019,V2CompressionBreakout,compression_breakout_structural_exit,16,-20.77455251
2019,V2CompressionBreakout,roi,2,12.008518129999999
2019,V2RegimeAdaptive,regime_adaptive_structural_exit,20,-5.90509062
2019,V2TrendPullbackLo,roi,10,60.043596889999996
2019,V2TrendPullbackLo,stop_loss,2,-12.385320400000001
2019,V2TrendPullbackLo,trend_pullback_structural_exit,31,-43.34852771
2019,V2TrendPullbackHi,roi,9,54.03952778
2019,V2TrendPullbackHi,stop_loss,2,-12.385320400000001
2019,V2TrendPullbackHi,trend_pullback_structural_exit,30,-42.59457929
2019,V2CompressionBreakoutLo,compression_breakout_structural_exit,16,-20.77455251
2019,V2CompressionBreakoutLo,roi,2,12.008518129999999
2019,V2CompressionBreakoutHi,compression_breakout_structural_exit,19,-23.79274561
2019,V2CompressionBreakoutHi,roi,2,12.008518129999999
2019,V2RegimeAdaptiveLo,regime_adaptive_structural_exit,20,-5.90509062
2019,V2RegimeAdaptiveHi,regime_adaptive_structural_exit,20,-5.90509062
2019,LabBaseline,roi,45,225.1901683
2019,LabBaseline,sma_cross_down,159,-161.70478113
2019,LabBaseline,stop_loss,19,-98.65115905
2019,AlphaBreakout,breakout_exit,63,-103.63212878
2019,AlphaBreakout,roi,38,190.13458429
2019,AlphaBreakout,stop_loss,22,-114.22826422
2020,V2TrendPullback,force_exit,1,-0.02216431
2020,V2TrendPullback,roi,22,132.07803662999999
2020,V2TrendPullback,stop_loss,2,-12.378263319999999
2020,V2TrendPullback,trend_pullback_structural_exit,45,-66.71206264
2020,V2CompressionBreakout,compression_breakout_structural_exit,18,-22.25064846
2020,V2CompressionBreakout,roi,4,24.01283075
2020,V2RegimeAdaptive,regime_adaptive_structural_exit,18,-0.33098119000000026
2020,V2TrendPullbackLo,force_exit,1,-0.02216431
2020,V2TrendPullbackLo,roi,22,132.07803662999999
2020,V2TrendPullbackLo,stop_loss,2,-12.378263319999999
2020,V2TrendPullbackLo,trend_pullback_structural_exit,46,-68.34639549
2020,V2TrendPullbackHi,force_exit,1,-0.02216431
2020,V2TrendPullbackHi,roi,22,132.07803662999999
2020,V2TrendPullbackHi,stop_loss,2,-12.378263319999999
2020,V2TrendPullbackHi,trend_pullback_structural_exit,45,-68.55031777
2020,V2CompressionBreakoutLo,compression_breakout_structural_exit,16,-18.64550277
2020,V2CompressionBreakoutLo,roi,4,24.01283075
