year,strategy,pair,trades,wins,losses,win_rate_pct,net_usdt,total_return_pct,average_trade_pct,profit_factor,expectancy_usdt,average_duration_hours,maximum_consecutive_losses,closed_trade_drawdown_pct,top5_net_usdt,top10_net_usdt,top5_gross_profit_share,top10_gross_profit_share,top5_net_share,top10_net_share
2019,V2TrendPullback,BTC/USDT,24,8,16,33.33333333333333,13.204308990000003,1.3204308990000002,0.5500738636447917,1.5272382309584722,0.5501795412500001,24.791666666666668,6,0.9019389738851336,30.018675350000002,37.16445565,0.7848306450816058,0.97165525666329,2.2733999463912875,2.8145702799098156
2019,V2TrendPullback,ETH/USDT,19,5,14,26.31578947368421,-8.89456021,-0.889456021,-0.46776100512369406,0.7430485136257061,-0.46813474789473686,13.105263157894736,7,2.271317861839648,25.721157859999998,19.23193337,1.0,0.7477086947127037,,
2019,V2CompressionBreakout,BTC/USDT,12,2,10,16.666666666666664,-0.3520025099999998,-0.03520025099999998,-0.029281423712980967,0.9715220321010684,-0.029333542499999987,9.25,7,0.9880114533192789,10.328684039999999,4.624442119999999,0.8601131237164564,0.3850968179368523,,
2019,V2CompressionBreakout,ETH/USDT,6,0,6,0.0,-8.414031869999999,-0.8414031869999998,-1.4011108909715817,0.0,-1.4023386449999997,6.833333333333333,6,0.841403187000003,-6.03785578,-8.41403187,,,,
2019,V2RegimeAdaptive,BTC/USDT,12,6,6,50.0,-2.8376835600000003,-0.28376835600000005,-0.23619150391319554,0.5380396229505648,-0.23647363000000002,9.333333333333334,3,0.3690675252956834,3.18890865,0.5451028600000001,0.9648695078574019,0.16493201467525961,,
2019,V2RegimeAdaptive,ETH/USDT,8,5,3,62.5,-3.0674070599999994,-0.3067407059999999,-0.38308538561369565,0.6202823766812758,-0.3834258824999999,7.0,2,0.6717548899721658,5.01071961,-3.06740706,1.0,-0.6121689694786174,,
2019,V2TrendPullbackLo,BTC/USDT,24,8,16,33.33333333333333,13.204308990000003,1.3204308990000002,0.5500738636447917,1.5272382309584722,0.5501795412500001,24.791666666666668,6,0.9019389738851336,30.018675350000002,37.16445565,0.7848306450816058,0.97165525666329,2.2733999463912875,2.8145702799098156
2019,V2TrendPullbackLo,ETH/USDT,19,5,14,26.31578947368421,-8.89456021,-0.889456021,-0.46776100512369406,0.7430485136257061,-0.46813474789473686,13.105263157894736,7,2.271317861839648,25.721157859999998,19.23193337,1.0,0.7477086947127037,,
2019,V2TrendPullbackHi,BTC/USDT,23,8,15,34.78260869565217,13.95825741,1.395825741,0.6067514799212559,1.5746422035389562,0.6068807569565218,25.217391304347824,6,0.880736208216909,30.018675350000002,37.16445565,0.7848306450816058,0.97165525666329,2.1506033646072447,2.662542648294663
2019,V2TrendPullbackHi,ETH/USDT,18,4,14,22.22222222222222,-14.89862932,-1.4898629319999999,-0.826989525502055,0.5695992990851164,-0.8277016288888889,13.0,7,2.271317861839648,19.47193175,11.121532010000003,0.9875662678649758,0.5640554825823363,,
2019,V2CompressionBreakoutLo,BTC/USDT,12,2,10,16.666666666666664,-0.3520025099999998,-0.03520025099999998,-0.029281423712980967,0.9715220321010684,-0.029333542499999987,9.25,7,0.9880114533192789,10.328684039999999,4.624442119999999,0.8601131237164564,0.3850968179368523,,
2019,V2CompressionBreakoutLo,ETH/USDT,6,0,6,0.0,-8.414031869999999,-0.8414031869999998,-1.4011108909715817,0.0,-1.4023386449999997,6.833333333333333,6,0.841403187000003,-6.03785578,-8.41403187,,,,
2019,V2CompressionBreakoutHi,BTC/USDT,13,2,11,15.384615384615385,-0.9165267,-0.09165267,-0.07041509626991167,0.9290890892793909,-0.07050205384615385,9.0,7,0.9885672537442056,10.436983459999999,5.62639062,0.8691316736180836,0.4685332993705527,,
2019,V2CompressionBreakoutHi,ETH/USDT,8,0,8,0.0,-10.86770078,-1.086770078,-1.3572396937371198,0.0,-1.3584625975,7.25,8,1.086770077999995,-4.97584822,-10.86770078,,,,
2019,V2RegimeAdaptiveLo,BTC/USDT,12,6,6,50.0,-2.8376835600000003,-0.28376835600000005,-0.23619150391319554,0.5380396229505648,-0.23647363000000002,9.333333333333334,3,0.3690675252956834,3.18890865,0.5451028600000001,0.9648695078574019,0.16493201467525961,,
2019,V2RegimeAdaptiveLo,ETH/USDT,8,5,3,62.5,-3.0674070599999994,-0.3067407059999999,-0.38308538561369565,0.6202823766812758,-0.3834258824999999,7.0,2,0.6717548899721658,5.01071961,-3.06740706,1.0,-0.6121689694786174,,
2019,V2RegimeAdaptiveHi,BTC/USDT,12,6,6,50.0,-2.8376835600000003,-0.28376835600000005,-0.23619150391319554,0.5380396229505648,-0.23647363000000002,9.333333333333334,3,0.3690675252956834,3.18890865,0.5451028600000001,0.9648695078574019,0.16493201467525961,,
2019,V2RegimeAdaptiveHi,ETH/USDT,8,5,3,62.5,-3.0674070599999994,-0.3067407059999999,-0.38308538561369565,0.6202823766812758,-0.3834258824999999,7.0,2,0.6717548899721658,5.01071961,-3.06740706,1.0,-0.6121689694786174,,
2019,LabBaseline,BTC/USDT,108,34,74,31.48148148148148,-17.349660860000004,-1.7349660860000005,-0.1606311603361302,0.8618027323450882,-0.160645007962963,30.453703703703702,9,4.7080783663031935,25.024546469999997,50.04425925,0.231295303959259,0.4625459313926464,,
2019,LabBaseline,ETH/USDT,115,38,77,33.04347826086956,-17.81611102,-1.781611102,-0.15479369041687277,0.888964111924229,-0.15492270452173915,25.643478260869568,12,5.15424801280323,25.037091110000002,50.06559491,0.17552949416734812,0.35099878460839523,,
2019,AlphaBreakout,BTC/USDT,61,26,35,42.62295081967213,-11.525506260000002,-1.1525506260000002,-0.18873558697137796,0.8905362553689155,-0.18894272557377054,25.311475409836067,4,3.0994193031845936,25.01997138,50.03670563,0.26683665839293197,0.5336387929673165,,
2019,AlphaBreakout,ETH/USDT,62,24,38,38.70967741935484,-16.20030245,-1.620030245,-0.26105332832696704,0.8644294668413579,-0.2612952008064516,22.258064516129032,5,2.7044823703996186,25.031928200000003,50.056848259999995,0.24232985532376777,0.4845918660317024,,
2020,V2TrendPullback,BTC/USDT,35,15,20,42.857142857142854,23.412613810000003,2.3412613810000003,0.6684020670930675,1.5231795019133052,0.6689318231428573,22.514285714285716,6,1.5231331505092178,30.02411816,60.02854062,0.4404737101998138,0.8806584714284122,1.2823906977518285,2.5639401523959955
2020,V2TrendPullback,ETH/USDT,35,14,21,40.0,29.55293255,2.955293255,0.8437984885013112,1.627692836530558,0.8443695014285715,19.77142857142857,7,1.5862171073023508,30.02462947,60.043286779999995,0.3917885991947547,0.7834992682287757,1.0159610867450106,2.0317200899915426
2020,V2CompressionBreakout,BTC/USDT,12,2,10,16.666666666666664,-1.0912564199999997,-0.10912564199999997,-0.09043755950721893,0.916668697023987,-0.09093803499999997,11.416666666666666,6,0.562600089,10.680496860000002,4.252875220000002,0.8897344703339873,0.3542840497837327,,
2020,V2CompressionBreakout,ETH/USDT,10,3,7,30.0,2.8534387100000003,0.285343871,0.2851085771816172,1.311406486644445,0.285343871,11.5,4,0.6050482074986628,11.03005637,2.853438710000002,0.9179087516117144,0.2374599255195504,3.8655312032267197,1.0000000000000007
2020,V2RegimeAdaptive,BTC/USDT,9,4,5,44.44444444444444,-5.87517987,-0.587517987,-0.6527293926789739,0.3903643682690602,-0.6527977633333334,6.777777777777778,3,0.5875179870000011,2.3162661600000005,-5.87517987,0.6156976109754341,-1.5617092165306083,,
2020,V2RegimeAdaptive,ETH/USDT,9,6,3,66.66666666666666,5.54419868,0.554419868,0.6154094186523817,1.8072376359522593,0.6160220755555555,9.444444444444445,1,0.42324394500000156,12.14645044,5.544198680000001,0.9785809047221168,0.4466693366126776,2.190839676041336,1.0000000000000002
2020,V2TrendPullbackLo,BTC/USDT,35,15,20,42.857142857142854,23.412613810000003,2.3412613810000003,0.6684020670930675,1.5231795019133052,0.6689318231428573,22.514285714285716,6,1.5231331505092178,30.02411816,60.02854062,0.4404737101998138,0.8806584714284122,1.2823906977518285,2.5639401523959955
2020,V2TrendPullbackLo,ETH/USDT,36,14,22,38.88888888888889,27.9185997,2.79185997,0.7749997499487982,1.5730869055480212,0.7755166583333334,19.47222222222222,7,1.5862171073023508,30.02462947,60.043286779999995,0.3917885991947547,0.7834992682287757,1.0754346490379314,2.1506553847684557
2020,V2TrendPullbackHi,BTC/USDT,35,14,21,40.0,21.574358680000003,2.1574358680000003,0.615926737682999,1.4820891346203582,0.6164102480000001,21.914285714285715,6,1.5231331505092178,30.02411816,60.02854062,0.4526738279908097,0.9050507037825091,1.3916575044167196,2.7824020871428283
2020,V2TrendPullbackHi,ETH/USDT,35,14,21,40.0,29.55293255,2.955293255,0.8437984885013112,1.627692836530558,0.8443695014285715,19.77142857142857,7,1.5862171073023508,30.02462947,60.043286779999995,0.3917885991947547,0.7834992682287757,1.0159610867450106,2.0317200899915426
2020,V2CompressionBreakoutLo,BTC/USDT,11,2,9,18.181818181818183,-0.03187248999999964,-0.003187248999999964,-0.002411766226486443,0.9973519061338738,-0.0028974990909090585,11.090909090909092,5,0.562600089,10.680496860000002,3.4325076500000016,0.8897344703339873,0.2859436612287072,,
2020,V2CompressionBreakoutLo,ETH/USDT,9,3,6,33.33333333333333,5.39920047,0.5399200470000001,0.599381445182755,1.8159212439976198,0.5999111633333334,11.666666666666666,3,0.35273230804292444,11.03005637,5.399200470000002,0.9179087516117144,0.4493153250420862,2.042905506340645,1.0000000000000002
2020,V2CompressionBreakoutHi,BTC/USDT,13,3,10,23.076923076923077,4.90313568,0.49031356800000003,0.37805661943616004,1.3744167524646314,0.37716428307692307,12.692307692307692,6,0.562600089,17.431528710000002,11.933927480000005,0.9684972598359355,0.663050054630623,3.555179755906735,2.433937842813276
2020,V2CompressionBreakoutHi,ETH/USDT,11,4,7,36.36363636363637,6.24173839,0.624173839,0.5669822712668853,1.6811843603900833,0.5674307627272728,13.181818181818182,3,0.37726745025210184,15.03979005,8.787500150000001,0.9763050564493768,0.5704388692576635,2.4095514919522283,1.4078610157834572
2020,V2RegimeAdaptiveLo,BTC/USDT,9,4,5,44.44444444444444,-5.87517987,-0.587517987,-0.6527293926789739,0.3903643682690602,-0.6527977633333334,6.777777777777778,3,0.5875179870000011,2.3162661600000005,-5.87517987,0.6156976109754341,-1.5617092165306083,,
2020,V2RegimeAdaptiveLo,ETH/USDT,9,6,3,66.66666666666666,5.54419868,0.554419868,0.6154094186523817,1.8072376359522593,0.6160220755555555,9.444444444444445,1,0.42324394500000156,12.14645044,5.544198680000001,0.9785809047221168,0.4466693366126776,2.190839676041336,1.0000000000000002
2020,V2RegimeAdaptiveHi,BTC/USDT,9,4,5,44.44444444444444,-5.87517987,-0.587517987,-0.6527293926789739,0.3903643682690602,-0.6527977633333334,6.777777777777778,3,0.5875179870000011,2.3162661600000005,-5.87517987,0.6156976109754341,-1.5617092165306083,,
2020,V2RegimeAdaptiveHi,ETH/USDT,9,6,3,66.66666666666666,5.54419868,0.554419868,0.6154094186523817,1.8072376359522593,0.6160220755555555,9.444444444444445,1,0.42324394500000156,12.14645044,5.544198680000001,0.9785809047221168,0.4466693366126776,2.190839676041336,1.0000000000000002
2020,LabBaseline,BTC/USDT,108,41,67,37.96296296296296,34.0237344,3.4023734400000003,0.31509152351786185,1.2957876027660733,0.3150345777777778,33.06481481481482,9,2.794911931852409,25.02322977,50.03978996,0.16788331312676763,0.3357218793844118,0.7354639404309481,1.4707318535851255
2020,LabBaseline,ETH/USDT,102,39,63,38.23529411764706,26.808818569999982,2.6808818569999984,0.262623748233613,1.171199886456305,0.26283155460784297,27.53921568627451,6,2.627611874328367,25.031887180000002,50.05908234,0.13648608226815165,0.2729465813502207,0.9337183999600628,1.8672617821367887
2020,AlphaBreakout,BTC/USDT,70,32,38,45.714285714285715,47.93941702,4.793941702,0.6844465602337946,1.6033329951401436,0.6848488145714285,26.47142857142857,6,1.1702686791683343,25.021462979999995,50.04064684000001,0.19640534255495573,0.3927927952149569,0.5219392419720333,1.043830942272898
2020,AlphaBreakout,ETH/USDT,73,42,31,57.534246575342465,91.52830157999999,9.152830157999999,1.2527311292604244,2.0562667573583004,1.2538123504109588,21.205479452054796,3,1.0869562072176047,25.032569470000002,50.05878606,0.14048960256981902,0.28094355104558094,0.27349540019728624,0.5469213914807137
2021,V2TrendPullback,BTC/USDT,36,11,25,30.555555555555557,-6.17274347,-0.6172743470000001,-0.1721232125862165,0.8701648960989262,-0.1714650963888889,14.86111111111111,9,3.064247472683728,29.96717288,40.98628326000001,0.724366096532513,0.9907198832305095,,
2021,V2TrendPullback,ETH/USDT,35,14,21,40.0,1.2375993299999988,0.12375993299999988,0.03468857234736746,1.0201980487843931,0.03535998085714282,17.82857142857143,6,1.4133194493711647,30.01450446,56.6597944,0.4801490127254159,0.9063999167016416,24.25219837505894,45.78201767449249
2021,V2CompressionBreakout,BTC/USDT,14,4,10,28.57142857142857,1.1814921999999997,0.11814921999999997,0.08632298057657417,1.091252575129529,0.08439229999999998,11.428571428571427,8,1.1095036902389137,13.94945668,8.322251399999999,0.9872935076063849,0.5890196990731933,11.806643056974904,7.043847940765078
