year,strategy,setup_or_regime,trades,net_usdt
2019,V2TrendPullback,trend_pullback,43,4.309748779999999
2019,V2CompressionBreakout,compression_breakout,18,-8.76603438
2019,V2RegimeAdaptive,adaptive_range,16,-7.30512015
2019,V2RegimeAdaptive,adaptive_trend,4,1.4000295299999999
2019,V2TrendPullbackLo,trend_pullback,43,4.309748779999999
2019,V2TrendPullbackHi,trend_pullback,41,-0.9403719100000014
2019,V2CompressionBreakoutLo,compression_breakout,18,-8.76603438
2019,V2CompressionBreakoutHi,compression_breakout,21,-11.78422748
2019,V2RegimeAdaptiveLo,adaptive_range,16,-7.30512015
2019,V2RegimeAdaptiveLo,adaptive_trend,4,1.4000295299999999
2019,V2RegimeAdaptiveHi,adaptive_range,16,-7.30512015
2019,V2RegimeAdaptiveHi,adaptive_trend,4,1.4000295299999999
2019,LabBaseline,sma_cross_up,223,-35.16577188
2019,AlphaBreakout,breakout,123,-27.725808709999995
2020,V2TrendPullback,trend_pullback,70,52.96554636
2020,V2CompressionBreakout,compression_breakout,22,1.762182290000001
2020,V2RegimeAdaptive,adaptive_range,18,-0.33098119000000026
2020,V2TrendPullbackLo,trend_pullback,71,51.33121351
2020,V2TrendPullbackHi,trend_pullback,70,51.12729123
2020,V2CompressionBreakoutLo,compression_breakout,20,5.367327980000001
2020,V2CompressionBreakoutHi,compression_breakout,24,11.14487407
2020,V2RegimeAdaptiveLo,adaptive_range,18,-0.33098119000000026
2020,V2RegimeAdaptiveHi,adaptive_range,18,-0.33098119000000026
2020,LabBaseline,sma_cross_up,210,60.83255297
2020,AlphaBreakout,breakout,143,139.46771859999998
2021,V2TrendPullback,trend_pullback,71,-4.9351441399999985
2021,V2CompressionBreakout,compression_breakout,23,9.544235389999999
2021,V2RegimeAdaptive,adaptive_range,17,-8.38225288
2021,V2TrendPullbackLo,trend_pullback,72,-6.866861069999999
2021,V2TrendPullbackHi,trend_pullback,67,-1.1180980499999984
2021,V2CompressionBreakoutLo,compression_breakout,19,8.896059229999999
2021,V2CompressionBreakoutHi,compression_breakout,25,9.145090739999999
2021,V2RegimeAdaptiveLo,adaptive_range,17,-8.38225288
2021,V2RegimeAdaptiveHi,adaptive_range,17,-8.38225288
2021,LabBaseline,sma_cross_up,203,-48.3696309
2021,AlphaBreakout,breakout,124,135.0635551
2022,V2TrendPullback,trend_pullback,44,-19.660616819999998
2022,V2CompressionBreakout,compression_breakout,14,-1.8505925300000006
2022,V2RegimeAdaptive,adaptive_range,29,4.43584722
2022,V2TrendPullbackLo,trend_pullback,44,-19.660616819999998
2022,V2TrendPullbackHi,trend_pullback,43,-19.45880072
2022,V2CompressionBreakoutLo,compression_breakout,12,1.1286247699999994
2022,V2CompressionBreakoutHi,compression_breakout,16,-7.10074247
2022,V2RegimeAdaptiveLo,adaptive_range,29,4.43584722
2022,V2RegimeAdaptiveHi,adaptive_range,29,4.43584722
2022,LabBaseline,sma_cross_up,213,-98.38880974
2022,AlphaBreakout,breakout,95,40.21705421
