row_id,decision_time,pair,split,outcome_end,net_profit_ratio,win_loss,mfe_ratio,mae_ratio,duration_minutes,exit_reason,profitable_after_fees,return_above_0_5_percent,return_above_1_percent,stoploss_hit,favorable_move_before_adverse_move,first_passage_status
development|BTC/USDT|2023-01-02T01:00:00+00:00,2023-01-02 01:00:00+00:00,BTC/USDT,development,2023-01-04 02:00:00+00:00,0.004840261359407083,win,0.012735735596338671,-0.0023673782867945636,2940,sma_cross_down,1,0,0,0,1.0,observed_order
development|ETH/USDT|2023-01-02T01:00:00+00:00,2023-01-02 01:00:00+00:00,ETH/USDT,development,2023-01-04 08:00:00+00:00,0.05000278649040083,win,0.05495092475128516,-0.004306603458636649,3300,roi,1,1,1,0,1.0,observed_order
development|BTC/USDT|2023-01-04T07:00:00+00:00,2023-01-04 07:00:00+00:00,BTC/USDT,development,2023-01-06 02:00:00+00:00,-0.005038327683001171,loss,0.006694760964448543,-0.0074572527663284705,2580,sma_cross_down,0,0,0,0,,neither_barrier_observed
development|ETH/USDT|2023-01-06T20:00:00+00:00,2023-01-06 20:00:00+00:00,ETH/USDT,development,2023-01-08 13:00:00+00:00,-0.010667964058060827,loss,0.002544928993339246,-0.012056993841900177,2460,sma_cross_down,0,0,0,0,0.0,observed_order
development|BTC/USDT|2023-01-07T01:00:00+00:00,2023-01-07 01:00:00+00:00,BTC/USDT,development,2023-01-11 23:00:00+00:00,0.05000015844776881,win,0.060186180473137396,-0.004131781142232893,7080,roi,1,1,1,0,1.0,observed_order
development|ETH/USDT|2023-01-08T23:00:00+00:00,2023-01-08 23:00:00+00:00,ETH/USDT,development,2023-01-09 15:00:00+00:00,0.04999797442372354,win,0.05701547090147141,0.0,960,roi,1,1,1,0,1.0,observed_order
development|BTC/USDT|2023-01-20T08:00:00+00:00,2023-01-20 08:00:00+00:00,BTC/USDT,development,2023-01-20 20:00:00+00:00,0.05000008283507149,win,0.06808620683896649,-0.0028456329982732287,720,roi,1,1,1,0,1.0,observed_order
development|ETH/USDT|2023-01-20T09:00:00+00:00,2023-01-20 09:00:00+00:00,ETH/USDT,development,2023-01-20 20:00:00+00:00,0.05000009176822199,win,0.059563774606140596,-0.0022616708012500597,660,roi,1,1,1,0,1.0,observed_order
development|BTC/USDT|2023-01-23T22:00:00+00:00,2023-01-23 22:00:00+00:00,BTC/USDT,development,2023-01-25 03:00:00+00:00,-0.02137840903582977,loss,0.007191429075846134,-0.03030071114180133,1740,sma_cross_down,0,0,0,0,0.0,observed_order
development|BTC/USDT|2023-01-26T05:00:00+00:00,2023-01-26 05:00:00+00:00,BTC/USDT,development,2023-01-27 14:00:00+00:00,-0.013975128216594626,loss,0.003076100040122931,-0.02777636364420777,1980,sma_cross_down,0,0,0,0,0.0,observed_order
