split,feature,target,method,correlation,n
development,ema20_distance,net_profit_ratio,pearson,-0.1859238560121281,217
development,ema50_distance,net_profit_ratio,pearson,-0.20441681979082438,217
development,ema_gap,net_profit_ratio,pearson,-0.17465965320478,217
development,ema20_slope_6,net_profit_ratio,pearson,-0.14468443213290705,217
development,ema50_slope_6,net_profit_ratio,pearson,-0.17459163584176304,217
development,trend_efficiency_20,net_profit_ratio,pearson,-0.09941745241409948,217
development,body_ratio,net_profit_ratio,pearson,-0.18527312773522994,217
development,range_ratio,net_profit_ratio,pearson,-0.13566718040086762,217
development,body_to_range,net_profit_ratio,pearson,-0.1556552743098249,217
development,close_location,net_profit_ratio,pearson,-0.06829239442118083,217
development,atr14,net_profit_ratio,pearson,-0.10916172393021624,217
development,natr14,net_profit_ratio,pearson,-0.04089431838419664,217
development,return_std_24,net_profit_ratio,pearson,-0.09350965887298748,217
development,return_std_168,net_profit_ratio,pearson,-0.1022440170072878,217
development,volatility_percentile_720,net_profit_ratio,pearson,-0.0005122134519147485,217
development,rsi14,net_profit_ratio,pearson,-0.1513516442108277,217
development,macd_ratio,net_profit_ratio,pearson,-0.16266651032019214,217
development,macd_signal_ratio,net_profit_ratio,pearson,-0.15142470035921143,217
development,macd_hist_ratio,net_profit_ratio,pearson,-0.14339066428205866,217
development,relative_volume_24,net_profit_ratio,pearson,-0.14338313112042286,217
development,volume_zscore_24,net_profit_ratio,pearson,-0.1325827119525062,217
development,volume_trend_24_168,net_profit_ratio,pearson,0.046625973645461866,217
development,regime_duration,net_profit_ratio,pearson,-0.08444226772519983,217
development,regime_transition,net_profit_ratio,pearson,-0.09377517531266481,217
development,hour_of_day,net_profit_ratio,pearson,-0.11683286213551101,217
development,day_of_week,net_profit_ratio,pearson,0.017823868999877895,217
development,distance_high_24,net_profit_ratio,pearson,-0.12968037752743936,217
development,distance_low_24,net_profit_ratio,pearson,-0.18840528310832527,217
development,distance_high_168,net_profit_ratio,pearson,-0.19661938663832235,217
development,distance_low_168,net_profit_ratio,pearson,-0.1299993774810645,217
development,candles_since_prior_signal,net_profit_ratio,pearson,0.08423992311804449,217
development,return_1h,net_profit_ratio,pearson,-0.18524532229517887,217
development,return_3h,net_profit_ratio,pearson,-0.1502838561721105,217
development,return_6h,net_profit_ratio,pearson,-0.13235068261285945,217
development,return_12h,net_profit_ratio,pearson,-0.21778769205858614,217
development,return_24h,net_profit_ratio,pearson,-0.12675368244640806,217
development,return_72h,net_profit_ratio,pearson,-0.17671729351785231,217
development,ema20_distance,profitable_after_fees,pearson,-0.11025526719530937,217
development,ema50_distance,profitable_after_fees,pearson,-0.13157050555383074,217
development,ema_gap,profitable_after_fees,pearson,-0.13684503991072502,217
development,ema20_slope_6,profitable_after_fees,pearson,-0.03596456160386796,217
development,ema50_slope_6,profitable_after_fees,pearson,-0.08700178327295961,217
development,trend_efficiency_20,profitable_after_fees,pearson,0.02736567140271396,217
development,body_ratio,profitable_after_fees,pearson,-0.16128852628679338,217
development,range_ratio,profitable_after_fees,pearson,-0.10210666669714964,217
development,body_to_range,profitable_after_fees,pearson,-0.15766032373957842,217
development,close_location,profitable_after_fees,pearson,-0.10158840770945562,217
development,atr14,profitable_after_fees,pearson,-0.0064801903808737165,217
development,natr14,profitable_after_fees,pearson,0.07809452987160369,217
development,return_std_24,profitable_after_fees,pearson,0.02288128116594384,217
development,return_std_168,profitable_after_fees,pearson,0.026579404283621665,217
development,volatility_percentile_720,profitable_after_fees,pearson,0.07624838388855312,217
development,rsi14,profitable_after_fees,pearson,-0.08799843550126535,217
development,macd_ratio,profitable_after_fees,pearson,-0.03750275205614628,217
development,macd_signal_ratio,profitable_after_fees,pearson,-0.021174728010847712,217
