split,pair,regime,rows,win_rate_pct,mean_net_profit_ratio,mean_mfe_ratio,mean_mae_ratio,mean_duration_minutes
development,BTC/USDT,LOW_VOLATILITY,22,18.181818181818183,-0.0008718785504233819,0.012827889093535242,-0.008158263824699374,1243.6363636363637
development,BTC/USDT,RANGE,68,36.76470588235294,0.0011920697308231694,0.02092715198917843,-0.015095976273247724,2026.764705882353
development,BTC/USDT,TREND_DOWN,2,50.0,-0.012377988731852335,0.018471395097962917,-0.029676506915447043,2790.0
development,BTC/USDT,TREND_UP,23,30.434782608695656,-0.009319321436317508,0.01664755239357914,-0.02433622555848821,2319.1304347826085
development,ETH/USDT,LOW_VOLATILITY,11,9.090909090909092,-0.003128288335893038,0.008415774709748393,-0.011134060812318925,1320.0
development,ETH/USDT,RANGE,69,39.130434782608695,0.003996686542038809,0.024694196170724388,-0.017517740225614076,1815.6521739130435
development,ETH/USDT,TREND_DOWN,1,100.0,0.009217247042506604,0.03559745767982192,-0.0006903070933719224,2460.0
development,ETH/USDT,TREND_UP,21,28.57142857142857,-0.006350748103784847,0.021784350344726495,-0.022583204239627664,2237.1428571428573
validation,BTC/USDT,HIGH_VOLATILITY,3,66.66666666666666,0.002704723942716812,0.029913293023855408,-0.030454495218042443,2220.0
validation,BTC/USDT,LOW_VOLATILITY,5,20.0,-0.0038103752602074714,0.016717542223931892,-0.018051881056629183,2040.0
validation,BTC/USDT,RANGE,73,38.35616438356164,-0.0025592463105197187,0.020215185427270386,-0.018761340943874747,1638.9041095890411
validation,BTC/USDT,TREND_UP,25,52.0,0.006995820059819562,0.030894596374979866,-0.02033783944246115,2323.2
validation,ETH/USDT,HIGH_VOLATILITY,5,20.0,-0.017422887786756863,0.031438048633209134,-0.034519793095932935,2064.0
validation,ETH/USDT,RANGE,73,27.397260273972602,-0.0034614874986472733,0.025036091014926293,-0.021760674306892783,1725.2054794520548
validation,ETH/USDT,TREND_DOWN,3,33.33333333333333,-0.007001464308292442,0.02012487658896774,-0.021548061690181346,2520.0
validation,ETH/USDT,TREND_UP,18,38.88888888888889,-0.0028588328618926622,0.026265073289764032,-0.0243456699958188,2316.6666666666665
