pair,signal_candle_open,decision_time,synthetic
BTC/USDT,2019-01-02 04:00:00+00:00,2019-01-02 05:00:00+00:00,False
BTC/USDT,2019-01-05 09:00:00+00:00,2019-01-05 10:00:00+00:00,False
BTC/USDT,2019-01-06 17:00:00+00:00,2019-01-06 18:00:00+00:00,False
BTC/USDT,2019-01-09 01:00:00+00:00,2019-01-09 02:00:00+00:00,False
BTC/USDT,2019-01-14 22:00:00+00:00,2019-01-14 23:00:00+00:00,False
BTC/USDT,2019-01-17 16:00:00+00:00,2019-01-17 17:00:00+00:00,False
BTC/USDT,2019-01-22 16:00:00+00:00,2019-01-22 17:00:00+00:00,False
BTC/USDT,2019-01-25 02:00:00+00:00,2019-01-25 03:00:00+00:00,False
BTC/USDT,2019-01-30 08:00:00+00:00,2019-01-30 09:00:00+00:00,False
BTC/USDT,2019-02-01 21:00:00+00:00,2019-02-01 22:00:00+00:00,False
BTC/USDT,2019-02-05 06:00:00+00:00,2019-02-05 07:00:00+00:00,False
BTC/USDT,2019-02-08 13:00:00+00:00,2019-02-08 14:00:00+00:00,False
BTC/USDT,2019-02-13 06:00:00+00:00,2019-02-13 07:00:00+00:00,False
BTC/USDT,2019-02-15 11:00:00+00:00,2019-02-15 12:00:00+00:00,False
BTC/USDT,2019-02-16 02:00:00+00:00,2019-02-16 03:00:00+00:00,False
BTC/USDT,2019-02-22 14:00:00+00:00,2019-02-22 15:00:00+00:00,False
BTC/USDT,2019-02-26 12:00:00+00:00,2019-02-26 13:00:00+00:00,False
BTC/USDT,2019-02-28 11:00:00+00:00,2019-02-28 12:00:00+00:00,False
BTC/USDT,2019-03-05 18:00:00+00:00,2019-03-05 19:00:00+00:00,False
BTC/USDT,2019-03-13 00:00:00+00:00,2019-03-13 01:00:00+00:00,False
BTC/USDT,2019-03-15 00:00:00+00:00,2019-03-15 01:00:00+00:00,False
BTC/USDT,2019-03-18 08:00:00+00:00,2019-03-18 09:00:00+00:00,False
BTC/USDT,2019-03-19 14:00:00+00:00,2019-03-19 15:00:00+00:00,False
BTC/USDT,2019-03-23 07:00:00+00:00,2019-03-23 08:00:00+00:00,False
BTC/USDT,2019-03-27 07:00:00+00:00,2019-03-27 08:00:00+00:00,False
BTC/USDT,2019-03-31 13:00:00+00:00,2019-03-31 14:00:00+00:00,False
BTC/USDT,2019-04-05 21:00:00+00:00,2019-04-05 22:00:00+00:00,False
BTC/USDT,2019-04-10 07:00:00+00:00,2019-04-10 08:00:00+00:00,False
BTC/USDT,2019-04-13 04:00:00+00:00,2019-04-13 05:00:00+00:00,False
BTC/USDT,2019-04-14 22:00:00+00:00,2019-04-14 23:00:00+00:00,False
BTC/USDT,2019-04-17 00:00:00+00:00,2019-04-17 01:00:00+00:00,False
BTC/USDT,2019-04-19 21:00:00+00:00,2019-04-19 22:00:00+00:00,False
BTC/USDT,2019-04-22 17:00:00+00:00,2019-04-22 18:00:00+00:00,False
BTC/USDT,2019-04-27 22:00:00+00:00,2019-04-27 23:00:00+00:00,False
BTC/USDT,2019-04-28 05:00:00+00:00,2019-04-28 06:00:00+00:00,False
BTC/USDT,2019-04-30 23:00:00+00:00,2019-05-01 00:00:00+00:00,False
BTC/USDT,2019-05-05 12:00:00+00:00,2019-05-05 13:00:00+00:00,False
BTC/USDT,2019-05-07 03:00:00+00:00,2019-05-07 04:00:00+00:00,False
BTC/USDT,2019-05-13 12:00:00+00:00,2019-05-13 13:00:00+00:00,False
BTC/USDT,2019-05-15 16:00:00+00:00,2019-05-15 17:00:00+00:00,False
BTC/USDT,2019-05-18 23:00:00+00:00,2019-05-19 00:00:00+00:00,False
BTC/USDT,2019-05-21 20:00:00+00:00,2019-05-21 21:00:00+00:00,False
BTC/USDT,2019-05-24 05:00:00+00:00,2019-05-24 06:00:00+00:00,False
BTC/USDT,2019-05-26 20:00:00+00:00,2019-05-26 21:00:00+00:00,False
BTC/USDT,2019-05-30 06:00:00+00:00,2019-05-30 07:00:00+00:00,False
BTC/USDT,2019-06-01 08:00:00+00:00,2019-06-01 09:00:00+00:00,False
BTC/USDT,2019-06-06 11:00:00+00:00,2019-06-06 12:00:00+00:00,False
BTC/USDT,2019-06-07 11:00:00+00:00,2019-06-07 12:00:00+00:00,False
BTC/USDT,2019-06-10 20:00:00+00:00,2019-06-10 21:00:00+00:00,False
BTC/USDT,2019-06-12 08:00:00+00:00,2019-06-12 09:00:00+00:00,False
BTC/USDT,2019-06-20 00:00:00+00:00,2019-06-20 01:00:00+00:00,False
BTC/USDT,2019-06-29 00:00:00+00:00,2019-06-29 01:00:00+00:00,False
BTC/USDT,2019-07-03 03:00:00+00:00,2019-07-03 04:00:00+00:00,False
BTC/USDT,2019-07-06 16:00:00+00:00,2019-07-06 17:00:00+00:00,False
BTC/USDT,2019-07-08 03:00:00+00:00,2019-07-08 04:00:00+00:00,False
BTC/USDT,2019-07-12 23:00:00+00:00,2019-07-13 00:00:00+00:00,False
BTC/USDT,2019-07-16 04:00:00+00:00,2019-07-16 05:00:00+00:00,False
BTC/USDT,2019-07-18 10:00:00+00:00,2019-07-18 11:00:00+00:00,False
BTC/USDT,2019-07-25 09:00:00+00:00,2019-07-25 10:00:00+00:00,False
BTC/USDT,2019-07-27 06:00:00+00:00,2019-07-27 07:00:00+00:00,False
BTC/USDT,2019-07-29 07:00:00+00:00,2019-07-29 08:00:00+00:00,False
BTC/USDT,2019-07-30 23:00:00+00:00,2019-07-31 00:00:00+00:00,False
BTC/USDT,2019-08-07 22:00:00+00:00,2019-08-07 23:00:00+00:00,False
BTC/USDT,2019-08-09 16:00:00+00:00,2019-08-09 17:00:00+00:00,False
BTC/USDT,2019-08-10 05:00:00+00:00,2019-08-10 06:00:00+00:00,False
BTC/USDT,2019-08-12 10:00:00+00:00,2019-08-12 11:00:00+00:00,False
BTC/USDT,2019-08-16 13:00:00+00:00,2019-08-16 14:00:00+00:00,False
BTC/USDT,2019-08-18 22:00:00+00:00,2019-08-18 23:00:00+00:00,False
BTC/USDT,2019-08-23 04:00:00+00:00,2019-08-23 05:00:00+00:00,False
BTC/USDT,2019-08-26 01:00:00+00:00,2019-08-26 02:00:00+00:00,False
BTC/USDT,2019-08-30 21:00:00+00:00,2019-08-30 22:00:00+00:00,False
BTC/USDT,2019-09-05 09:00:00+00:00,2019-09-05 10:00:00+00:00,False
BTC/USDT,2019-09-05 23:00:00+00:00,2019-09-06 00:00:00+00:00,False
BTC/USDT,2019-09-08 09:00:00+00:00,2019-09-08 10:00:00+00:00,False
BTC/USDT,2019-09-12 11:00:00+00:00,2019-09-12 12:00:00+00:00,False
BTC/USDT,2019-09-14 17:00:00+00:00,2019-09-14 18:00:00+00:00,False
BTC/USDT,2019-09-18 06:00:00+00:00,2019-09-18 07:00:00+00:00,False
BTC/USDT,2019-09-20 07:00:00+00:00,2019-09-20 08:00:00+00:00,False
BTC/USDT,2019-09-23 02:00:00+00:00,2019-09-23 03:00:00+00:00,False
BTC/USDT,2019-09-28 09:00:00+00:00,2019-09-28 10:00:00+00:00,False
BTC/USDT,2019-09-30 22:00:00+00:00,2019-09-30 23:00:00+00:00,False
BTC/USDT,2019-10-03 13:00:00+00:00,2019-10-03 14:00:00+00:00,False
BTC/USDT,2019-10-07 19:00:00+00:00,2019-10-07 20:00:00+00:00,False
BTC/USDT,2019-10-09 16:00:00+00:00,2019-10-09 17:00:00+00:00,False
BTC/USDT,2019-10-13 07:00:00+00:00,2019-10-13 08:00:00+00:00,False
BTC/USDT,2019-10-18 00:00:00+00:00,2019-10-18 01:00:00+00:00,False
BTC/USDT,2019-10-19 22:00:00+00:00,2019-10-19 23:00:00+00:00,False
BTC/USDT,2019-10-20 18:00:00+00:00,2019-10-20 19:00:00+00:00,False
BTC/USDT,2019-10-25 13:00:00+00:00,2019-10-25 14:00:00+00:00,False
BTC/USDT,2019-11-01 01:00:00+00:00,2019-11-01 02:00:00+00:00,False
BTC/USDT,2019-11-02 00:00:00+00:00,2019-11-02 01:00:00+00:00,False
BTC/USDT,2019-11-04 20:00:00+00:00,2019-11-04 21:00:00+00:00,False
BTC/USDT,2019-11-06 22:00:00+00:00,2019-11-06 23:00:00+00:00,False
BTC/USDT,2019-11-10 15:00:00+00:00,2019-11-10 16:00:00+00:00,False
BTC/USDT,2019-11-13 07:00:00+00:00,2019-11-13 08:00:00+00:00,False
BTC/USDT,2019-11-17 13:00:00+00:00,2019-11-17 14:00:00+00:00,False
BTC/USDT,2019-11-24 06:00:00+00:00,2019-11-24 07:00:00+00:00,False
BTC/USDT,2019-11-26 01:00:00+00:00,2019-11-26 02:00:00+00:00,False
BTC/USDT,2019-11-27 17:00:00+00:00,2019-11-27 18:00:00+00:00,False
BTC/USDT,2019-12-05 00:00:00+00:00,2019-12-05 01:00:00+00:00,False
BTC/USDT,2019-12-05 16:00:00+00:00,2019-12-05 17:00:00+00:00,False
BTC/USDT,2019-12-09 01:00:00+00:00,2019-12-09 02:00:00+00:00,False
BTC/USDT,2019-12-13 04:00:00+00:00,2019-12-13 05:00:00+00:00,False
BTC/USDT,2019-12-16 12:00:00+00:00,2019-12-16 13:00:00+00:00,False
BTC/USDT,2019-12-18 23:00:00+00:00,2019-12-19 00:00:00+00:00,False
BTC/USDT,2019-12-22 16:00:00+00:00,2019-12-22 17:00:00+00:00,False
BTC/USDT,2019-12-26 18:00:00+00:00,2019-12-26 19:00:00+00:00,False
BTC/USDT,2019-12-28 03:00:00+00:00,2019-12-28 04:00:00+00:00,False
BTC/USDT,2020-01-03 16:00:00+00:00,2020-01-03 17:00:00+00:00,False
BTC/USDT,2020-01-10 23:00:00+00:00,2020-01-11 00:00:00+00:00,False
BTC/USDT,2020-01-14 01:00:00+00:00,2020-01-14 02:00:00+00:00,False
BTC/USDT,2020-01-17 06:00:00+00:00,2020-01-17 07:00:00+00:00,False
BTC/USDT,2020-01-21 12:00:00+00:00,2020-01-21 13:00:00+00:00,False
BTC/USDT,2020-01-21 23:00:00+00:00,2020-01-22 00:00:00+00:00,False
BTC/USDT,2020-01-25 04:00:00+00:00,2020-01-25 05:00:00+00:00,False
BTC/USDT,2020-01-26 13:00:00+00:00,2020-01-26 14:00:00+00:00,False
BTC/USDT,2020-02-02 00:00:00+00:00,2020-02-02 01:00:00+00:00,False
BTC/USDT,2020-02-02 10:00:00+00:00,2020-02-02 11:00:00+00:00,False
BTC/USDT,2020-02-05 13:00:00+00:00,2020-02-05 14:00:00+00:00,False
BTC/USDT,2020-02-08 15:00:00+00:00,2020-02-08 16:00:00+00:00,False
BTC/USDT,2020-02-11 21:00:00+00:00,2020-02-11 22:00:00+00:00,False
BTC/USDT,2020-02-15 00:00:00+00:00,2020-02-15 01:00:00+00:00,False
BTC/USDT,2020-02-18 17:00:00+00:00,2020-02-18 18:00:00+00:00,False
BTC/USDT,2020-02-21 18:00:00+00:00,2020-02-21 19:00:00+00:00,False
BTC/USDT,2020-02-23 05:00:00+00:00,2020-02-23 06:00:00+00:00,False
BTC/USDT,2020-03-02 12:00:00+00:00,2020-03-02 13:00:00+00:00,False
BTC/USDT,2020-03-05 06:00:00+00:00,2020-03-05 07:00:00+00:00,False
BTC/USDT,2020-03-10 20:00:00+00:00,2020-03-10 21:00:00+00:00,False
BTC/USDT,2020-03-11 11:00:00+00:00,2020-03-11 12:00:00+00:00,False
BTC/USDT,2020-03-14 14:00:00+00:00,2020-03-14 15:00:00+00:00,False
BTC/USDT,2020-03-16 04:00:00+00:00,2020-03-16 05:00:00+00:00,False
BTC/USDT,2020-03-17 12:00:00+00:00,2020-03-17 13:00:00+00:00,False
BTC/USDT,2020-03-19 06:00:00+00:00,2020-03-19 07:00:00+00:00,False
BTC/USDT,2020-03-22 13:00:00+00:00,2020-03-22 14:00:00+00:00,False
BTC/USDT,2020-03-23 22:00:00+00:00,2020-03-23 23:00:00+00:00,False
BTC/USDT,2020-03-27 01:00:00+00:00,2020-03-27 02:00:00+00:00,False
BTC/USDT,2020-03-30 16:00:00+00:00,2020-03-30 17:00:00+00:00,False
BTC/USDT,2020-04-02 06:00:00+00:00,2020-04-02 07:00:00+00:00,False
