row_id,dataset,year,decision_time,feature_candle_open,pair,net_profit_ratio,net_profit_usdt,profitable_after_fees,return_above_0_5_percent,return_above_1_percent,stoploss_hit,exit_reason,duration_minutes,mfe_ratio,mae_ratio,strategy_outcome_end,boundary_forced_exit,forward_6h_return,forward_12h_return,forward_24h_return,forward_48h_return,label_end,horizon_censored
ETH/USDT|2019-01-01T23:00:00+00:00,B_opportunities,2019,2019-01-01 23:00:00+00:00,2019-01-01 22:00:00+00:00,ETH/USDT,0.04999033229834909,5.00380508,1,1,1,0,roi,540,0.07018308631211867,-0.006756756756756577,2019-01-02 08:00:00+00:00,0,0.011262079488483678,0.08006975223425128,0.11654435806146912,0.07382111458257645,2019-01-03 23:00:00+00:00,0
BTC/USDT|2019-01-02T05:00:00+00:00,B_opportunities,2019,2019-01-02 05:00:00+00:00,2019-01-02 04:00:00+00:00,BTC/USDT,-0.002722157101304843,-0.27246808,0,0,0,0,sma_cross_down,2520,0.02806554806999695,-0.012224058302614305,2019-01-03 23:00:00+00:00,0,0.0030690523539551595,0.012837589138891214,0.015406166173694169,-0.0002859858966584028,2019-01-04 05:00:00+00:00,0
ETH/USDT|2019-01-04T17:00:00+00:00,B_opportunities,2019,2019-01-04 17:00:00+00:00,2019-01-04 16:00:00+00:00,ETH/USDT,0.04998197096153914,5.00290836,1,1,1,0,roi,420,0.07410660001351066,-0.010268188880632412,2019-01-05 00:00:00+00:00,0,0.026614428532828915,0.06052418265333692,0.03917860037827614,0.023101864360983715,2019-01-06 17:00:00+00:00,0
BTC/USDT|2019-01-05T10:00:00+00:00,B_opportunities,2019,2019-01-05 10:00:00+00:00,2019-01-05 09:00:00+00:00,BTC/USDT,0.002528890311438426,0.2530731,1,0,0,0,sma_cross_down,1800,0.009306756171959973,-0.013119702774875175,2019-01-06 16:00:00+00:00,0,-0.0012610939330301996,0.004276638630631435,-0.005028546101161879,0.043966799987336325,2019-01-07 10:00:00+00:00,0
BTC/USDT|2019-01-06T18:00:00+00:00,B_opportunities,2019,2019-01-06 18:00:00+00:00,2019-01-06 17:00:00+00:00,BTC/USDT,-0.013237924343842975,-1.32482329,0,0,0,0,sma_cross_down,2880,0.015639622373119888,-0.021361922373369424,2019-01-08 18:00:00+00:00,0,-0.004868845626898266,-0.0030321104237218677,-0.006930181602202046,-0.011257489811859478,2019-01-08 18:00:00+00:00,0
ETH/USDT|2019-01-07T09:00:00+00:00,B_opportunities,2019,2019-01-07 09:00:00+00:00,2019-01-07 08:00:00+00:00,ETH/USDT,-0.01944854906213896,-1.94667026,0,0,0,0,sma_cross_down,420,0.0,-0.03223070398642913,2019-01-07 16:00:00+00:00,0,-0.011874469889737171,-0.021008677497227124,-0.03953807007242127,-0.025967247341293298,2019-01-09 09:00:00+00:00,0
BTC/USDT|2019-01-09T02:00:00+00:00,B_opportunities,2019,2019-01-09 02:00:00+00:00,2019-01-09 01:00:00+00:00,BTC/USDT,-0.0036956676023273804,-0.36979708,0,0,0,0,sma_cross_down,1560,0.005286345822858474,-0.011225017186269004,2019-01-10 04:00:00+00:00,0,0.00047165077772204356,-0.00449322629202209,-0.0008931259407927161,-0.09860762669342704,2019-01-11 02:00:00+00:00,0
ETH/USDT|2019-01-09T14:00:00+00:00,B_opportunities,2019,2019-01-09 14:00:00+00:00,2019-01-09 13:00:00+00:00,ETH/USDT,-0.009856285456828016,-0.98647813,0,0,0,0,sma_cross_down,960,0.008816205666599464,-0.10424658456154523,2019-01-10 06:00:00+00:00,0,-6.729927989768125e-05,0.0003364963994885173,-0.12833972676492356,-0.1869573995558248,2019-01-11 14:00:00+00:00,0
BTC/USDT|2019-01-14T23:00:00+00:00,B_opportunities,2019,2019-01-14 23:00:00+00:00,2019-01-14 22:00:00+00:00,BTC/USDT,-0.016564478835416924,-1.65801811,0,0,0,0,sma_cross_down,1920,0.007016284846812049,-0.02936240684515601,2019-01-16 07:00:00+00:00,0,0.0011951883318703782,-0.0033730257310523593,-0.021775613741629618,-0.011860795062464513,2019-01-16 23:00:00+00:00,0
ETH/USDT|2019-01-14T23:00:00+00:00,B_opportunities,2019,2019-01-14 23:00:00+00:00,2019-01-14 22:00:00+00:00,ETH/USDT,-0.0518391415395236,-5.18902101,0,0,0,1,stop_loss,1260,0.01929893658920845,-0.08625443087829854,2019-01-15 20:00:00+00:00,0,-0.0009452540370225027,-0.01402126821583305,-0.07365104371799924,-0.04293028751476957,2019-01-16 23:00:00+00:00,0
BTC/USDT|2019-01-17T17:00:00+00:00,B_opportunities,2019,2019-01-17 17:00:00+00:00,2019-01-17 16:00:00+00:00,BTC/USDT,-0.018163384297380205,-1.81766499,0,0,0,0,sma_cross_down,4380,0.03853176176304718,-0.029866163406830903,2019-01-20 18:00:00+00:00,0,0.00693471208661145,0.002573995388025496,0.002448366545876768,0.03048314060938373,2019-01-20 18:00:00+00:00,0
ETH/USDT|2019-01-18T11:00:00+00:00,B_opportunities,2019,2019-01-18 11:00:00+00:00,2019-01-18 10:00:00+00:00,ETH/USDT,-0.010576338507454423,-1.05867174,0,0,0,0,sma_cross_down,480,0.01093215388467006,-0.018108987732621262,2019-01-18 19:00:00+00:00,0,-0.0019189053896212505,-0.008509928249624488,0.034540297013182064,0.021191389954947404,2019-01-20 11:00:00+00:00,0
ETH/USDT|2019-01-19T15:00:00+00:00,B_opportunities,2019,2019-01-19 15:00:00+00:00,2019-01-19 14:00:00+00:00,ETH/USDT,-0.05185763141967521,-5.19075684,0,0,0,1,stop_loss,1260,0.005109489051094984,-0.061800486618004746,2019-01-20 12:00:00+00:00,0,-0.0013786392020112004,-0.006082231773578806,-0.044765225853539814,-0.05863271429729955,2019-01-21 15:00:00+00:00,0
BTC/USDT|2019-01-22T17:00:00+00:00,B_opportunities,2019,2019-01-22 17:00:00+00:00,2019-01-22 16:00:00+00:00,BTC/USDT,-0.010981232679279388,-1.09892463,0,0,0,0,sma_cross_down,2160,0.01029190254609813,-0.01602580255001762,2019-01-24 05:00:00+00:00,0,0.0017442381347010372,-0.0004255605079850344,-0.0002687750576746417,-0.004779156494277403,2019-01-24 17:00:00+00:00,0
ETH/USDT|2019-01-22T20:00:00+00:00,B_opportunities,2019,2019-01-22 20:00:00+00:00,2019-01-22 19:00:00+00:00,ETH/USDT,-0.022933926185171833,-2.29546737,0,0,0,0,sma_cross_down,1800,0.010319742852309188,-0.028929115208932488,2019-01-24 02:00:00+00:00,0,-0.002113628677713919,-0.005157253973621878,-0.021305377071356046,-0.014372675008454516,2019-01-24 20:00:00+00:00,0
BTC/USDT|2019-01-25T03:00:00+00:00,B_opportunities,2019,2019-01-25 03:00:00+00:00,2019-01-25 02:00:00+00:00,BTC/USDT,-0.0021826643617790338,-0.21844452,0,0,0,0,sma_cross_down,3240,0.026910946326693663,-0.012458823364498994,2019-01-27 09:00:00+00:00,0,-0.004836105099077059,-0.0010961838224574638,0.0024979534163929173,0.0029493232256401214,2019-01-27 09:00:00+00:00,0
ETH/USDT|2019-01-26T16:00:00+00:00,B_opportunities,2019,2019-01-26 16:00:00+00:00,2019-01-26 15:00:00+00:00,ETH/USDT,-0.007011784211378036,-0.70181815,0,0,0,0,sma_cross_down,840,0.0062364660025984175,-0.020268514508445246,2019-01-27 06:00:00+00:00,0,8.661758336936387e-05,-0.0009527934170636687,-0.017843222174101392,-0.10688609787786918,2019-01-28 16:00:00+00:00,0
ETH/USDT|2019-01-30T05:00:00+00:00,B_opportunities,2019,2019-01-30 05:00:00+00:00,2019-01-30 04:00:00+00:00,ETH/USDT,0.05004271233243773,5.00880864,1,1,1,0,roi,1140,0.05443279313632021,-0.0074356530028598655,2019-01-31 00:00:00+00:00,0,0.0025743707093821566,0.031559877955758875,0.03985507246376829,-0.0028604118993135197,2019-02-01 05:00:00+00:00,0
BTC/USDT|2019-01-30T09:00:00+00:00,B_opportunities,2019,2019-01-30 09:00:00+00:00,2019-01-30 08:00:00+00:00,BTC/USDT,-0.001558979858249029,-0.15604038,0,0,0,0,sma_cross_down,2340,0.01649192009532152,-0.004017374635479354,2019-02-01 00:00:00+00:00,0,0.008534436304851178,0.005985756520979102,0.00286325968862422,0.0014068712406973827,2019-02-01 09:00:00+00:00,0
BTC/USDT|2019-02-01T22:00:00+00:00,B_opportunities,2019,2019-02-01 22:00:00+00:00,2019-02-01 21:00:00+00:00,BTC/USDT,-0.013351764152322568,-1.33632475,0,0,0,0,sma_cross_down,2820,0.01257099540001505,-0.01625787481838381,2019-02-03 21:00:00+00:00,0,-0.005005125731170401,-0.005079786241216633,-0.004631823180939687,-0.013662873338444737,2019-02-03 22:00:00+00:00,0
ETH/USDT|2019-02-02T04:00:00+00:00,B_opportunities,2019,2019-02-02 04:00:00+00:00,2019-02-02 03:00:00+00:00,ETH/USDT,-0.0018115814858242177,-0.18132602,0,0,0,0,sma_cross_down,2760,0.03810591202017388,-0.011674605398337534,2019-02-04 02:00:00+00:00,0,0.003362600410984573,0.001214272370633207,0.025219503082383632,0.0019615169064075566,2019-02-04 04:00:00+00:00,0
BTC/USDT|2019-02-05T07:00:00+00:00,B_opportunities,2019,2019-02-05 07:00:00+00:00,2019-02-05 06:00:00+00:00,BTC/USDT,-0.015207169630098438,-1.52199416,0,0,0,0,sma_cross_down,1200,0.004925482954135418,-0.024713978618729593,2019-02-06 03:00:00+00:00,0,-0.0006579820728743746,-0.002637700064066606,-0.01396768961715833,-0.01555204118736897,2019-02-07 07:00:00+00:00,0
