dataset,year,feature,target,method,r,n
A_portfolio,ALL,ema20_distance,net_profit_ratio,pearson,0.055151315553723546,1271
A_portfolio,ALL,ema20_distance,net_profit_ratio,spearman,-0.044646328808077944,1271
A_portfolio,ALL,ema50_distance,net_profit_ratio,pearson,0.09726045999069124,1271
A_portfolio,ALL,ema50_distance,net_profit_ratio,spearman,0.0008869328420958025,1271
A_portfolio,ALL,ema_gap,net_profit_ratio,pearson,0.1468695241386318,1271
A_portfolio,ALL,ema_gap,net_profit_ratio,spearman,0.08161740043523391,1271
A_portfolio,ALL,ema20_slope_6,net_profit_ratio,pearson,0.043580402622902824,1271
A_portfolio,ALL,ema20_slope_6,net_profit_ratio,spearman,-0.028028114618565664,1271
A_portfolio,ALL,ema50_slope_6,net_profit_ratio,pearson,0.09938077188203218,1271
A_portfolio,ALL,ema50_slope_6,net_profit_ratio,spearman,0.03403955157302966,1271
A_portfolio,ALL,trend_efficiency_20,net_profit_ratio,pearson,0.033691565288410184,1271
A_portfolio,ALL,trend_efficiency_20,net_profit_ratio,spearman,-0.004604334914364744,1271
A_portfolio,ALL,range_ratio,net_profit_ratio,pearson,-0.034917148640991685,1271
A_portfolio,ALL,range_ratio,net_profit_ratio,spearman,-0.10591032242582714,1271
A_portfolio,ALL,body_to_range,net_profit_ratio,pearson,-0.015211708276623138,1271
A_portfolio,ALL,body_to_range,net_profit_ratio,spearman,-0.01443039663956274,1271
A_portfolio,ALL,close_location,net_profit_ratio,pearson,-0.011554443601853122,1271
A_portfolio,ALL,close_location,net_profit_ratio,spearman,-0.02351103964860641,1271
A_portfolio,ALL,natr14,net_profit_ratio,pearson,-0.07501362653880465,1271
A_portfolio,ALL,natr14,net_profit_ratio,spearman,-0.08794418141845539,1271
A_portfolio,ALL,return_std_24,net_profit_ratio,pearson,-0.05536613233739264,1271
A_portfolio,ALL,return_std_24,net_profit_ratio,spearman,-0.06594227856539786,1271
A_portfolio,ALL,return_std_168,net_profit_ratio,pearson,-0.0671682877417935,1271
A_portfolio,ALL,return_std_168,net_profit_ratio,spearman,-0.11212555007898534,1271
A_portfolio,ALL,volatility_percentile_720,net_profit_ratio,pearson,-0.03522383131177135,1271
A_portfolio,ALL,volatility_percentile_720,net_profit_ratio,spearman,-0.04290735272288879,1271
A_portfolio,ALL,rsi14,net_profit_ratio,pearson,0.03985079294843423,1271
A_portfolio,ALL,rsi14,net_profit_ratio,spearman,-0.025110603750385905,1271
A_portfolio,ALL,macd_ratio,net_profit_ratio,pearson,0.049251605559841045,1271
A_portfolio,ALL,macd_ratio,net_profit_ratio,spearman,-0.021036297648831366,1271
A_portfolio,ALL,macd_signal_ratio,net_profit_ratio,pearson,0.043527036265480795,1271
A_portfolio,ALL,macd_signal_ratio,net_profit_ratio,spearman,-0.005336517975278831,1271
A_portfolio,ALL,relative_volume_24,net_profit_ratio,pearson,-0.017347824014556774,1271
A_portfolio,ALL,relative_volume_24,net_profit_ratio,spearman,-0.028784552215015066,1271
A_portfolio,ALL,volume_zscore_24,net_profit_ratio,pearson,-0.015855668817582682,1271
A_portfolio,ALL,volume_zscore_24,net_profit_ratio,spearman,-0.01478915920916164,1271
A_portfolio,ALL,volume_trend_24_168,net_profit_ratio,pearson,0.031072559455857168,1271
A_portfolio,ALL,volume_trend_24_168,net_profit_ratio,spearman,0.034898249797975796,1271
A_portfolio,ALL,regime_duration,net_profit_ratio,pearson,0.0037980366466070065,1271
A_portfolio,ALL,regime_duration,net_profit_ratio,spearman,-0.042617642879749444,1271
A_portfolio,ALL,regime_transition,net_profit_ratio,pearson,0.013712095372097817,1271
A_portfolio,ALL,regime_transition,net_profit_ratio,spearman,-0.01667345580483271,1271
A_portfolio,ALL,hour_of_day,net_profit_ratio,pearson,0.038739885833984404,1271
A_portfolio,ALL,hour_of_day,net_profit_ratio,spearman,0.03613554766176389,1271
A_portfolio,ALL,day_of_week,net_profit_ratio,pearson,-0.02477046061830647,1271
A_portfolio,ALL,day_of_week,net_profit_ratio,spearman,-0.010550472886045173,1271
A_portfolio,ALL,distance_high_24,net_profit_ratio,pearson,0.06721190846596219,1271
A_portfolio,ALL,distance_high_24,net_profit_ratio,spearman,0.03792973360530597,1271
A_portfolio,ALL,distance_low_24,net_profit_ratio,pearson,-0.008690573611070583,1271
A_portfolio,ALL,distance_low_24,net_profit_ratio,spearman,-0.07992179800052505,1271
A_portfolio,ALL,distance_high_168,net_profit_ratio,pearson,0.147313328074679,1271
A_portfolio,ALL,distance_high_168,net_profit_ratio,spearman,0.11517885712383089,1271
A_portfolio,ALL,distance_low_168,net_profit_ratio,pearson,0.003530191828079191,1271
A_portfolio,ALL,distance_low_168,net_profit_ratio,spearman,-0.0686001139472235,1271
A_portfolio,ALL,candles_since_prior_signal,net_profit_ratio,pearson,-0.03475872847838951,1271
A_portfolio,ALL,candles_since_prior_signal,net_profit_ratio,spearman,-0.031630662611423506,1271
A_portfolio,ALL,return_1h,net_profit_ratio,pearson,-0.0224335426979623,1271
A_portfolio,ALL,return_1h,net_profit_ratio,spearman,-0.042642670394204996,1271
