dataset,year,pair,target,positive,negative,positive_pct
A_portfolio,2019,BTC/USDT,profitable_after_fees,34,74,31.48148148148148
A_portfolio,2019,BTC/USDT,return_above_0_5_percent,27,81,25.0
A_portfolio,2019,BTC/USDT,return_above_1_percent,27,81,25.0
A_portfolio,2019,BTC/USDT,stoploss_hit,6,102,5.555555555555555
A_portfolio,2019,ETH/USDT,profitable_after_fees,38,77,33.04347826086956
A_portfolio,2019,ETH/USDT,return_above_0_5_percent,32,83,27.82608695652174
A_portfolio,2019,ETH/USDT,return_above_1_percent,30,85,26.08695652173913
A_portfolio,2019,ETH/USDT,stoploss_hit,13,102,11.304347826086957
A_portfolio,2020,BTC/USDT,profitable_after_fees,41,67,37.96296296296296
A_portfolio,2020,BTC/USDT,return_above_0_5_percent,36,72,33.33333333333333
A_portfolio,2020,BTC/USDT,return_above_1_percent,34,74,31.48148148148148
A_portfolio,2020,BTC/USDT,stoploss_hit,7,101,6.481481481481481
A_portfolio,2020,ETH/USDT,profitable_after_fees,39,63,38.23529411764706
A_portfolio,2020,ETH/USDT,return_above_0_5_percent,38,64,37.254901960784316
A_portfolio,2020,ETH/USDT,return_above_1_percent,38,64,37.254901960784316
A_portfolio,2020,ETH/USDT,stoploss_hit,15,87,14.705882352941178
A_portfolio,2021,BTC/USDT,profitable_after_fees,38,60,38.775510204081634
A_portfolio,2021,BTC/USDT,return_above_0_5_percent,36,62,36.734693877551024
A_portfolio,2021,BTC/USDT,return_above_1_percent,34,64,34.69387755102041
A_portfolio,2021,BTC/USDT,stoploss_hit,16,82,16.3265306122449
A_portfolio,2021,ETH/USDT,profitable_after_fees,41,64,39.04761904761905
A_portfolio,2021,ETH/USDT,return_above_0_5_percent,40,65,38.095238095238095
A_portfolio,2021,ETH/USDT,return_above_1_percent,39,66,37.142857142857146
A_portfolio,2021,ETH/USDT,stoploss_hit,27,78,25.71428571428571
A_portfolio,2022,BTC/USDT,profitable_after_fees,27,79,25.471698113207548
A_portfolio,2022,BTC/USDT,return_above_0_5_percent,24,82,22.641509433962266
A_portfolio,2022,BTC/USDT,return_above_1_percent,21,85,19.81132075471698
A_portfolio,2022,BTC/USDT,stoploss_hit,11,95,10.377358490566039
A_portfolio,2022,ETH/USDT,profitable_after_fees,37,70,34.57943925233645
A_portfolio,2022,ETH/USDT,return_above_0_5_percent,31,76,28.971962616822427
A_portfolio,2022,ETH/USDT,return_above_1_percent,31,76,28.971962616822427
A_portfolio,2022,ETH/USDT,stoploss_hit,20,87,18.69158878504673
A_portfolio,2023,BTC/USDT,profitable_after_fees,38,77,33.04347826086956
A_portfolio,2023,BTC/USDT,return_above_0_5_percent,29,86,25.217391304347824
A_portfolio,2023,BTC/USDT,return_above_1_percent,22,93,19.130434782608695
A_portfolio,2023,BTC/USDT,stoploss_hit,3,112,2.608695652173913
A_portfolio,2023,ETH/USDT,profitable_after_fees,35,67,34.31372549019608
A_portfolio,2023,ETH/USDT,return_above_0_5_percent,29,73,28.431372549019606
A_portfolio,2023,ETH/USDT,return_above_1_percent,25,77,24.509803921568626
A_portfolio,2023,ETH/USDT,stoploss_hit,5,97,4.901960784313726
A_portfolio,2024,BTC/USDT,profitable_after_fees,44,62,41.509433962264154
A_portfolio,2024,BTC/USDT,return_above_0_5_percent,33,73,31.132075471698112
A_portfolio,2024,BTC/USDT,return_above_1_percent,27,79,25.471698113207548
A_portfolio,2024,BTC/USDT,stoploss_hit,4,102,3.7735849056603774
A_portfolio,2024,ETH/USDT,profitable_after_fees,29,70,29.292929292929294
A_portfolio,2024,ETH/USDT,return_above_0_5_percent,26,73,26.262626262626267
A_portfolio,2024,ETH/USDT,return_above_1_percent,23,76,23.232323232323232
A_portfolio,2024,ETH/USDT,stoploss_hit,11,88,11.11111111111111
B_opportunities,2019,BTC/USDT,profitable_after_fees,34,74,31.48148148148148
B_opportunities,2019,BTC/USDT,return_above_0_5_percent,27,81,25.0
B_opportunities,2019,BTC/USDT,return_above_1_percent,27,81,25.0
B_opportunities,2019,BTC/USDT,stoploss_hit,6,102,5.555555555555555
B_opportunities,2019,ETH/USDT,profitable_after_fees,38,77,33.04347826086956
B_opportunities,2019,ETH/USDT,return_above_0_5_percent,32,83,27.82608695652174
B_opportunities,2019,ETH/USDT,return_above_1_percent,30,85,26.08695652173913
B_opportunities,2019,ETH/USDT,stoploss_hit,13,102,11.304347826086957
B_opportunities,2020,BTC/USDT,profitable_after_fees,41,67,37.96296296296296
B_opportunities,2020,BTC/USDT,return_above_0_5_percent,36,72,33.33333333333333
B_opportunities,2020,BTC/USDT,return_above_1_percent,34,74,31.48148148148148
B_opportunities,2020,BTC/USDT,stoploss_hit,7,101,6.481481481481481
B_opportunities,2020,ETH/USDT,profitable_after_fees,39,63,38.23529411764706
B_opportunities,2020,ETH/USDT,return_above_0_5_percent,38,64,37.254901960784316
B_opportunities,2020,ETH/USDT,return_above_1_percent,38,64,37.254901960784316
B_opportunities,2020,ETH/USDT,stoploss_hit,15,87,14.705882352941178
B_opportunities,2021,BTC/USDT,profitable_after_fees,38,60,38.775510204081634
B_opportunities,2021,BTC/USDT,return_above_0_5_percent,36,62,36.734693877551024
B_opportunities,2021,BTC/USDT,return_above_1_percent,34,64,34.69387755102041
B_opportunities,2021,BTC/USDT,stoploss_hit,16,82,16.3265306122449
B_opportunities,2021,ETH/USDT,profitable_after_fees,41,64,39.04761904761905
B_opportunities,2021,ETH/USDT,return_above_0_5_percent,40,65,38.095238095238095
B_opportunities,2021,ETH/USDT,return_above_1_percent,39,66,37.142857142857146
B_opportunities,2021,ETH/USDT,stoploss_hit,27,78,25.71428571428571
B_opportunities,2022,BTC/USDT,profitable_after_fees,27,79,25.471698113207548
B_opportunities,2022,BTC/USDT,return_above_0_5_percent,24,82,22.641509433962266
B_opportunities,2022,BTC/USDT,return_above_1_percent,21,85,19.81132075471698
B_opportunities,2022,BTC/USDT,stoploss_hit,11,95,10.377358490566039
B_opportunities,2022,ETH/USDT,profitable_after_fees,37,70,34.57943925233645
B_opportunities,2022,ETH/USDT,return_above_0_5_percent,31,76,28.971962616822427
B_opportunities,2022,ETH/USDT,return_above_1_percent,31,76,28.971962616822427
B_opportunities,2022,ETH/USDT,stoploss_hit,20,87,18.69158878504673
B_opportunities,2023,BTC/USDT,profitable_after_fees,38,77,33.04347826086956
B_opportunities,2023,BTC/USDT,return_above_0_5_percent,29,86,25.217391304347824
B_opportunities,2023,BTC/USDT,return_above_1_percent,22,93,19.130434782608695
B_opportunities,2023,BTC/USDT,stoploss_hit,3,112,2.608695652173913
B_opportunities,2023,ETH/USDT,profitable_after_fees,35,67,34.31372549019608
B_opportunities,2023,ETH/USDT,return_above_0_5_percent,29,73,28.431372549019606
B_opportunities,2023,ETH/USDT,return_above_1_percent,25,77,24.509803921568626
B_opportunities,2023,ETH/USDT,stoploss_hit,5,97,4.901960784313726
B_opportunities,2024,BTC/USDT,profitable_after_fees,44,62,41.509433962264154
B_opportunities,2024,BTC/USDT,return_above_0_5_percent,33,73,31.132075471698112
B_opportunities,2024,BTC/USDT,return_above_1_percent,27,79,25.471698113207548
B_opportunities,2024,BTC/USDT,stoploss_hit,4,102,3.7735849056603774
B_opportunities,2024,ETH/USDT,profitable_after_fees,29,70,29.292929292929294
B_opportunities,2024,ETH/USDT,return_above_0_5_percent,26,73,26.262626262626267
B_opportunities,2024,ETH/USDT,return_above_1_percent,23,76,23.232323232323232
B_opportunities,2024,ETH/USDT,stoploss_hit,11,88,11.11111111111111
