dataset,year,feature,btc_n,eth_n,ks_statistic
A_portfolio,2019,ema20_distance,108,115,0.1497584541062802
A_portfolio,2019,ema50_distance,108,115,0.16207729468599033
A_portfolio,2019,ema_gap,108,115,0.13711755233494363
A_portfolio,2019,ema20_slope_6,108,115,0.17439613526570047
A_portfolio,2019,ema50_slope_6,108,115,0.15338164251207728
A_portfolio,2019,trend_efficiency_20,108,115,0.03904991948470209
A_portfolio,2019,range_ratio,108,115,0.199597423510467
A_portfolio,2019,body_to_range,108,115,0.10418679549114332
A_portfolio,2019,close_location,108,115,0.09549114331723027
A_portfolio,2019,natr14,108,115,0.26239935587761676
A_portfolio,2019,return_std_24,108,115,0.29492753623188406
A_portfolio,2019,return_std_168,108,115,0.25539452495974235
A_portfolio,2019,volatility_percentile_720,108,115,0.085829307568438
A_portfolio,2019,rsi14,108,115,0.1320450885668277
A_portfolio,2019,macd_ratio,108,115,0.16795491143317232
A_portfolio,2019,macd_signal_ratio,108,115,0.1533011272141707
A_portfolio,2019,relative_volume_24,108,115,0.09895330112721418
A_portfolio,2019,volume_zscore_24,108,115,0.0713365539452496
A_portfolio,2019,volume_trend_24_168,108,115,0.17045088566827699
A_portfolio,2019,regime_duration,108,115,0.0713365539452496
A_portfolio,2019,regime_transition,108,115,0.01714975845410628
A_portfolio,2019,hour_of_day,108,115,0.08518518518518518
A_portfolio,2019,day_of_week,108,115,0.04734299516908213
A_portfolio,2019,distance_high_24,108,115,0.22069243156199678
A_portfolio,2019,distance_low_24,108,115,0.20603864734299518
A_portfolio,2019,distance_high_168,108,115,0.18607085346215782
A_portfolio,2019,distance_low_168,108,115,0.20072463768115942
A_portfolio,2019,candles_since_prior_signal,108,115,0.06223832528180354
A_portfolio,2019,source_synthetic,108,115,0.0
A_portfolio,2019,return_1h,108,115,0.1570048309178744
A_portfolio,2019,return_3h,108,115,0.15225442834138486
A_portfolio,2019,return_6h,108,115,0.1320450885668277
A_portfolio,2019,return_12h,108,115,0.19428341384863124
A_portfolio,2019,return_24h,108,115,0.20942028985507247
A_portfolio,2019,return_72h,108,115,0.10571658615136877
A_portfolio,2019,return_168h,108,115,0.19098228663446054
A_portfolio,2019,volatility_ratio_24_168,108,115,0.11819645732689212
A_portfolio,2019,natr_ratio_168,108,115,0.08776167471819646
A_portfolio,2019,up_fraction_24,108,115,0.07979066022544283
A_portfolio,2019,volume_price_interaction,108,115,0.13260869565217392
A_portfolio,2019,range_expansion_24,108,115,0.1247987117552335
A_portfolio,2019,signal_density_168,108,115,0.08188405797101449
A_portfolio,2020,ema20_distance,108,102,0.2178649237472767
A_portfolio,2020,ema50_distance,108,102,0.1835511982570806
A_portfolio,2020,ema_gap,108,102,0.09803921568627451
A_portfolio,2020,ema20_slope_6,108,102,0.28594771241830064
A_portfolio,2020,ema50_slope_6,108,102,0.19226579520697168
A_portfolio,2020,trend_efficiency_20,108,102,0.1721132897603486
A_portfolio,2020,range_ratio,108,102,0.25272331154684097
A_portfolio,2020,body_to_range,108,102,0.05065359477124183
A_portfolio,2020,close_location,108,102,0.0659041394335512
A_portfolio,2020,natr14,108,102,0.3752723311546841
A_portfolio,2020,return_std_24,108,102,0.3790849673202614
A_portfolio,2020,return_std_168,108,102,0.3431372549019608
A_portfolio,2020,volatility_percentile_720,108,102,0.08115468409586056
A_portfolio,2020,rsi14,108,102,0.09368191721132897
A_portfolio,2020,macd_ratio,108,102,0.2935729847494553
A_portfolio,2020,macd_signal_ratio,108,102,0.25
A_portfolio,2020,relative_volume_24,108,102,0.0860566448801743
A_portfolio,2020,volume_zscore_24,108,102,0.06045751633986928
A_portfolio,2020,volume_trend_24_168,108,102,0.11764705882352941
A_portfolio,2020,regime_duration,108,102,0.07570806100217865
A_portfolio,2020,regime_transition,108,102,0.03812636165577342
A_portfolio,2020,hour_of_day,108,102,0.09586056644880174
A_portfolio,2020,day_of_week,108,102,0.0392156862745098
A_portfolio,2020,distance_high_24,108,102,0.2222222222222222
A_portfolio,2020,distance_low_24,108,102,0.315359477124183
A_portfolio,2020,distance_high_168,108,102,0.23583877995642702
A_portfolio,2020,distance_low_168,108,102,0.2374727668845316
A_portfolio,2020,candles_since_prior_signal,108,102,0.105119825708061
A_portfolio,2020,source_synthetic,108,102,0.0
A_portfolio,2020,return_1h,108,102,0.11492374727668846
A_portfolio,2020,return_3h,108,102,0.12418300653594772
A_portfolio,2020,return_6h,108,102,0.22004357298474944
A_portfolio,2020,return_12h,108,102,0.21895424836601307
A_portfolio,2020,return_24h,108,102,0.2647058823529412
A_portfolio,2020,return_72h,108,102,0.1377995642701525
