dataset,year,pair,feature,reference_year,standardized_mean_shift,ks_statistic,reference_n,n
A_portfolio,2019,BTC/USDT,ema20_distance,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,ema50_distance,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,ema_gap,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,ema20_slope_6,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,ema50_slope_6,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,trend_efficiency_20,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,range_ratio,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,body_to_range,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,close_location,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,natr14,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,return_std_24,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,return_std_168,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,volatility_percentile_720,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,rsi14,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,macd_ratio,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,macd_signal_ratio,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,relative_volume_24,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,volume_zscore_24,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,volume_trend_24_168,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,regime_duration,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,regime_transition,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,hour_of_day,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,day_of_week,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,distance_high_24,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,distance_low_24,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,distance_high_168,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,distance_low_168,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,candles_since_prior_signal,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,source_synthetic,2019,,0.0,108,108
A_portfolio,2019,BTC/USDT,return_1h,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,return_3h,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,return_6h,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,return_12h,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,return_24h,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,return_72h,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,return_168h,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,volatility_ratio_24_168,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,natr_ratio_168,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,up_fraction_24,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,volume_price_interaction,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,range_expansion_24,2019,0.0,0.0,108,108
A_portfolio,2019,BTC/USDT,signal_density_168,2019,0.0,0.0,108,108
A_portfolio,2019,ETH/USDT,ema20_distance,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,ema50_distance,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,ema_gap,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,ema20_slope_6,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,ema50_slope_6,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,trend_efficiency_20,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,range_ratio,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,body_to_range,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,close_location,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,natr14,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,return_std_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,return_std_168,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,volatility_percentile_720,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,rsi14,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,macd_ratio,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,macd_signal_ratio,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,relative_volume_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,volume_zscore_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,volume_trend_24_168,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,regime_duration,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,regime_transition,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,hour_of_day,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,day_of_week,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,distance_high_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,distance_low_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,distance_high_168,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,distance_low_168,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,candles_since_prior_signal,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,source_synthetic,2019,,0.0,115,115
A_portfolio,2019,ETH/USDT,return_1h,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,return_3h,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,return_6h,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,return_12h,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,return_24h,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,return_72h,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,return_168h,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,volatility_ratio_24_168,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,natr_ratio_168,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,up_fraction_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,volume_price_interaction,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,range_expansion_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,signal_density_168,2019,0.0,0.0,115,115
A_portfolio,2020,BTC/USDT,ema20_distance,2019,-0.040022533707952244,0.09259259259259259,108,108
A_portfolio,2020,BTC/USDT,ema50_distance,2019,-0.024729599295334463,0.12037037037037036,108,108
A_portfolio,2020,BTC/USDT,ema_gap,2019,0.016373156219552737,0.12962962962962962,108,108
A_portfolio,2020,BTC/USDT,ema20_slope_6,2019,-0.0722228638538327,0.10185185185185185,108,108
A_portfolio,2020,BTC/USDT,ema50_slope_6,2019,-0.03686343259304356,0.12037037037037036,108,108
A_portfolio,2020,BTC/USDT,trend_efficiency_20,2019,0.001620281059421757,0.07407407407407407,108,108
A_portfolio,2020,BTC/USDT,range_ratio,2019,-0.004013662566456143,0.12037037037037036,108,108
A_portfolio,2020,BTC/USDT,body_to_range,2019,0.14145797452455583,0.10185185185185185,108,108
