model,feature_set,feature,mean,std,min,max
forest,A_all,volume_trend_24_168,0.012365250955996533,0.023258861862440604,-0.0020991592305386,0.0391949120985282
forest,A_all,return_12h,0.010615884404899634,0.029530313797856797,-0.0140971438569692,0.0433191208417964
forest,A_all,return_72h,0.008276425817877367,0.002692882178910761,0.0066169612408105,0.0113834915070332
forest,A_all,candles_since_prior_signal,0.0074443993988062,0.016773172399560384,-0.0043180707574468,0.0266512689538654
forest,A_all,body_ratio,0.004599495781795668,0.006784825209795944,-0.0025629717173313,0.0109299380757306
forest,A_all,trend_efficiency_20,0.004315354680423533,0.018014068178949228,-0.012138952734839,0.0235628748959736
forest,A_all,body_to_range,0.003311064093199999,0.015259029746200985,-0.0103426260160951,0.0197826252450144
forest,A_all,rsi14,0.0027171933545905667,0.011243498700081346,-0.0069187044187043,0.015070284482476
forest,A_all,range_ratio,0.0018825537544260669,0.004214914029368024,-0.0011842419866795,0.0066888056068601
forest,A_all,distance_high_168,0.0012410893590899667,0.005243971226666991,-0.003794832599087,0.0066708971317915
forest,A_all,volatility_percentile_720,0.0008056680007048001,0.005528039778987071,-0.0025609721994787,0.0071856384092552
forest,A_all,regime,0.0007408061078225999,0.013246739307252599,-0.0121199853046501,0.0143424036281179
forest,A_all,distance_high_24,0.000497204172041,0.009440972705479231,-0.0078776991276991,0.01072847180733
forest,A_all,natr14,0.00041026513962020016,0.00550677528566837,-0.0031502843310358,0.0067530435349036
forest,A_all,hour_of_day,0.00029826438660626666,0.0007577523295917841,-0.0002649708532061,0.0011597640130249
forest,A_all,ema_gap,0.00012300317230440049,0.0208315163418038,-0.0161249403914989,0.0236078121891824
forest,A_all,return_6h,0.00011168978936124861,0.00016823172574354658,-6.419383605745417e-05,0.0002710502710503
forest,A_all,regime_transition,0.0,0.0,0.0,0.0
forest,A_all,atr14,0.0,0.0,0.0,0.0
forest,A_all,source_synthetic,0.0,0.0,0.0,0.0
forest,A_all,pair,-7.507507507506667e-05,0.0001300338444120633,-0.0002252252252252,0.0
forest,A_all,return_std_168,-0.0005852988679810001,0.0005303066647195569,-0.0010338139011302,0.0
forest,A_all,macd_signal_ratio,-0.0006494726087959002,0.005331064792458502,-0.0067832040136145,0.002868232434784
forest,A_all,volume_zscore_24,-0.0009076668989737002,0.0022341086777724986,-0.002260537008255,0.0016710164135603
forest,A_all,distance_low_168,-0.0010557899564842667,0.0034508398370779003,-0.0050213851832299,0.0012644042401152
forest,A_all,macd_ratio,-0.0012407247103509002,0.00913953485877386,-0.0070779689162041,0.0092920967920968
forest,A_all,close_location,-0.0016871298284832333,0.0020703160614833093,-0.0029741057365487,0.0007010582010582
forest,A_all,return_std_24,-0.0016972217793997668,0.002726005859175568,-0.0048416302686079,0.0
forest,A_all,ema20_distance,-0.0018736964887359666,0.0036426924867955417,-0.0060599666404176,0.0005737904125711
forest,A_all,return_3h,-0.0019108697118325668,0.006883201076404264,-0.0094678276519892,0.004000154000154
forest,A_all,return_1h,-0.0028896194850812997,0.00665415818973078,-0.0080160429274521,0.0046301695058634
forest,A_all,relative_volume_24,-0.004079418250964367,0.014772015282306938,-0.0199281280555187,0.009306276564647
forest,A_all,day_of_week,-0.0041667043577955,0.007531945918090968,-0.01286134539811,0.0003612323247235
forest,A_all,ema20_slope_6,-0.004563876069190234,0.010339073309944997,-0.0162666441359709,0.0033320987765073
forest,A_all,regime_duration,-0.0054600897343565005,0.037928571949058035,-0.0481356918429113,0.0244024581548191
forest,A_all,ema50_slope_6,-0.006198902876631933,0.011969521938763585,-0.0199964689987184,0.0013997603688226
forest,A_all,ema50_distance,-0.006517106463221667,0.019675787801929193,-0.0279676459378597,0.0106921738240419
forest,A_all,distance_low_24,-0.006954056770071,0.005772845655399945,-0.0122796881620994,-0.000819356187104
forest,A_all,return_24h,-0.012545592762467967,0.018316716548707736,-0.0334982131423439,0.0004292929292929
forest,A_all,macd_hist_ratio,-0.0135152088132369,0.022552083327628415,-0.0394918441577697,0.0010565464325298
forest,B_reduced,distance_high_168,0.02892157995326597,0.025975908739606653,0.0124700737535857,0.0588673420924639
forest,B_reduced,volume_trend_24_168,0.003288673240366134,0.020748716985331074,-0.0156193069863647,0.0254853267074631
forest,B_reduced,return_6h,0.0018059381330784666,0.002925347514738566,0.0,0.0051810719749931
forest,B_reduced,return_std_24,0.0017336953497708665,0.004504687534535213,-0.0031639494163128,0.0056997575268917
forest,B_reduced,macd_signal_ratio,0.00021326723470006665,0.0007287264568554094,-0.0006182341050762,0.000740805159603
