split,target,metric,model,feature_set,value
development_cv,profitable_after_fees,roc_auc,logistic,A_all,0.6266346153846154
development_cv,profitable_after_fees,pr_auc_ap,logistic,A_all,0.4917080241290801
development_cv,profitable_after_fees,balanced_accuracy,logistic,D_price_volatility,0.5904273504273504
development_cv,profitable_after_fees,precision,logistic,C_price,0.6571428571428571
development_cv,profitable_after_fees,recall,logistic,D_price_volatility,0.3025641025641025
development_cv,profitable_after_fees,f1,logistic,D_price_volatility,0.3427113237639553
development_cv,profitable_after_fees,brier,logistic,C_price,0.2258614565533359
development_cv,profitable_after_fees,ece_5_bins,dummy,A_all,0.1168332448598095
development_cv,return_above_0_5_percent,roc_auc,logistic,B_reduced,0.5755120094240463
development_cv,return_above_0_5_percent,pr_auc_ap,logistic,B_reduced,0.3552581567836547
development_cv,return_above_0_5_percent,balanced_accuracy,logistic,D_price_volatility,0.5385521885521886
development_cv,return_above_0_5_percent,precision,hist_gradient,C_price,0.5555555555555555
development_cv,return_above_0_5_percent,recall,logistic,D_price_volatility,0.1259259259259259
development_cv,return_above_0_5_percent,f1,logistic,D_price_volatility,0.1672240802675585
development_cv,return_above_0_5_percent,brier,hist_gradient,C_price,0.1958199495719168
development_cv,return_above_0_5_percent,ece_5_bins,dummy,A_all,0.1225205915867065
development_cv,return_above_1_percent,roc_auc,logistic,A_all,0.583746992900311
development_cv,return_above_1_percent,pr_auc_ap,logistic,B_reduced,0.3374719427445731
development_cv,return_above_1_percent,balanced_accuracy,logistic,C_price,0.5212306127637936
development_cv,return_above_1_percent,precision,logistic,C_price,0.1666666666666666
development_cv,return_above_1_percent,recall,logistic,A_all,0.0555555555555555
development_cv,return_above_1_percent,f1,logistic,C_price,0.0833333333333333
development_cv,return_above_1_percent,brier,dummy,A_all,0.172011944705781
development_cv,return_above_1_percent,ece_5_bins,dummy,A_all,0.1069680972816945
validation,profitable_after_fees,roc_auc,hist_gradient,C_price,0.5124014113740141
validation,profitable_after_fees,pr_auc_ap,hist_gradient,C_price,0.3839949527919264
validation,profitable_after_fees,balanced_accuracy,forest,B_reduced,0.5091843088418431
validation,profitable_after_fees,precision,forest,B_reduced,0.5
validation,profitable_after_fees,recall,logistic,E_no_regime,0.1917808219178082
validation,profitable_after_fees,f1,logistic,E_no_regime,0.23931623931623933
validation,profitable_after_fees,brier,dummy,A_all,0.22988259388423274
validation,profitable_after_fees,ece_5_bins,dummy,A_all,0.024300325952568425
validation,return_above_0_5_percent,roc_auc,dummy,A_all,0.5
validation,return_above_0_5_percent,pr_auc_ap,dummy,A_all,0.28780487804878047
validation,return_above_0_5_percent,balanced_accuracy,dummy,A_all,0.5
validation,return_above_0_5_percent,precision,logistic,D_price_volatility,0.2
validation,return_above_0_5_percent,recall,logistic,D_price_volatility,0.06779661016949153
validation,return_above_0_5_percent,f1,logistic,D_price_volatility,0.10126582278481013
validation,return_above_0_5_percent,brier,dummy,A_all,0.20560485101124026
validation,return_above_0_5_percent,ece_5_bins,dummy,A_all,0.025132066988872603
validation,return_above_1_percent,roc_auc,dummy,A_all,0.5
validation,return_above_1_percent,pr_auc_ap,forest,D_price_volatility,0.24743238150998356
validation,return_above_1_percent,balanced_accuracy,logistic,E_no_regime,0.5135483870967742
validation,return_above_1_percent,precision,hist_gradient,E_no_regime,0.5
validation,return_above_1_percent,recall,logistic,A_all,0.04
validation,return_above_1_percent,f1,logistic,E_no_regime,0.07407407407407407
validation,return_above_1_percent,brier,dummy,A_all,0.18543298134461525
validation,return_above_1_percent,ece_5_bins,dummy,A_all,0.03192087220411366
