fold,model,feature_set,feature,ap_drop
1,logistic,A_all,ema20_distance,0.0
1,logistic,A_all,ema50_distance,0.003416459000880908
1,logistic,A_all,ema_gap,-0.0014097220024428998
1,logistic,A_all,ema20_slope_6,-0.0026144360416788803
1,logistic,A_all,ema50_slope_6,-0.0025145632397951165
1,logistic,A_all,trend_efficiency_20,0.057177014475493615
1,logistic,A_all,body_ratio,0.014047919539061001
1,logistic,A_all,range_ratio,-0.006663958845610551
1,logistic,A_all,body_to_range,0.09761579868248071
1,logistic,A_all,close_location,0.0008637409782592161
1,logistic,A_all,atr14,0.000845078633976352
1,logistic,A_all,natr14,-0.003258722464032693
1,logistic,A_all,return_std_24,0.0009528598181150297
1,logistic,A_all,return_std_168,-0.03680158992071503
1,logistic,A_all,volatility_percentile_720,-0.005421839118496215
1,logistic,A_all,rsi14,0.003313736517823518
1,logistic,A_all,macd_ratio,-0.0026744187201907335
1,logistic,A_all,macd_signal_ratio,-0.017671600068054755
1,logistic,A_all,macd_hist_ratio,-0.0004559817833810949
1,logistic,A_all,relative_volume_24,-0.013906430993967303
1,logistic,A_all,volume_zscore_24,-0.014974788295785949
1,logistic,A_all,volume_trend_24_168,0.005330020730994829
1,logistic,A_all,regime_duration,0.015879102226664665
1,logistic,A_all,regime_transition,-0.06432009735801354
1,logistic,A_all,hour_of_day,-0.0029541842231298374
1,logistic,A_all,day_of_week,0.021696368503802615
1,logistic,A_all,distance_high_24,0.004101272318811781
1,logistic,A_all,distance_low_24,-0.003123057998755526
1,logistic,A_all,distance_high_168,-0.011356509242567592
1,logistic,A_all,distance_low_168,-0.0009259259259259226
1,logistic,A_all,candles_since_prior_signal,-0.031609385083450424
1,logistic,A_all,source_synthetic,0.0
1,logistic,A_all,pair,0.0041810814049156875
1,logistic,A_all,regime,0.008971867744308729
1,logistic,A_all,return_1h,-0.004069566058037322
1,logistic,A_all,return_3h,-0.02265887485194673
1,logistic,A_all,return_6h,-0.030227974447499067
1,logistic,A_all,return_12h,0.01849887048063133
1,logistic,A_all,return_24h,0.04080745989597954
1,logistic,A_all,return_72h,0.01770981453101128
1,forest,A_all,ema20_distance,-0.006059966640417654
1,forest,A_all,ema50_distance,-0.027967645937859775
1,forest,A_all,ema_gap,-0.01612494039149896
1,forest,A_all,ema20_slope_6,-0.016266644135970936
1,forest,A_all,ema50_slope_6,-0.019996468998718413
1,forest,A_all,trend_efficiency_20,0.0015221418801360704
1,forest,A_all,body_ratio,-0.0025629717173313673
1,forest,A_all,range_ratio,0.00014309764309764864
1,forest,A_all,body_to_range,0.0004931930506807772
1,forest,A_all,close_location,-0.0027883419499592868
1,forest,A_all,atr14,0.0
1,forest,A_all,natr14,-0.0023719637850072584
1,forest,A_all,return_std_24,0.0
1,forest,A_all,return_std_168,-0.001033813901130239
1,forest,A_all,volatility_percentile_720,0.007185638409255253
1,forest,A_all,rsi14,0.0
1,forest,A_all,macd_ratio,-0.005936302006945411
1,forest,A_all,macd_signal_ratio,0.0019665537524428864
1,forest,A_all,macd_hist_ratio,-0.039491844157769775
1,forest,A_all,relative_volume_24,-0.01992812805551873
1,forest,A_all,volume_zscore_24,-0.0021334801022264704
1,forest,A_all,volume_trend_24_168,0.0
1,forest,A_all,regime_duration,0.007352964485022799
1,forest,A_all,regime_transition,0.0
1,forest,A_all,hour_of_day,0.0
1,forest,A_all,day_of_week,0.0
1,forest,A_all,distance_high_24,-0.0013591601635079924
1,forest,A_all,distance_low_24,-0.0008193561871040108
1,forest,A_all,distance_high_168,0.006670897131791531
1,forest,A_all,distance_low_168,0.0005896110736619368
1,forest,A_all,candles_since_prior_signal,0.0
1,forest,A_all,source_synthetic,0.0
1,forest,A_all,pair,0.0
1,forest,A_all,regime,0.0
1,forest,A_all,return_1h,-0.008016042927452116
1,forest,A_all,return_3h,-0.0002649354836625946
1,forest,A_all,return_6h,-6.419383605745417e-05
1,forest,A_all,return_12h,-0.014097143856969271
1,forest,A_all,return_24h,0.00042929292929294594
