fold,target,feature_set,model,feature,importance
1,profitable_after_fees,A_all,forest,numeric__ema20_distance,0.021100960210002767
1,profitable_after_fees,A_all,forest,numeric__ema50_distance,0.06343259795807392
1,profitable_after_fees,A_all,forest,numeric__ema_gap,0.1275301610416678
1,profitable_after_fees,A_all,forest,numeric__ema20_slope_6,0.05390533821461533
1,profitable_after_fees,A_all,forest,numeric__ema50_slope_6,0.0679766953195068
1,profitable_after_fees,A_all,forest,numeric__trend_efficiency_20,0.00778064357330357
1,profitable_after_fees,A_all,forest,numeric__body_ratio,0.015403309521264279
1,profitable_after_fees,A_all,forest,numeric__range_ratio,0.0015679442508710795
1,profitable_after_fees,A_all,forest,numeric__body_to_range,0.0069188732262019745
1,profitable_after_fees,A_all,forest,numeric__close_location,0.055348289644827166
1,profitable_after_fees,A_all,forest,numeric__atr14,0.0
1,profitable_after_fees,A_all,forest,numeric__natr14,0.0056920403293396924
1,profitable_after_fees,A_all,forest,numeric__return_std_24,0.0
1,profitable_after_fees,A_all,forest,numeric__return_std_168,0.005229733544140877
1,profitable_after_fees,A_all,forest,numeric__volatility_percentile_720,0.003389650267848835
1,profitable_after_fees,A_all,forest,numeric__rsi14,0.0
1,profitable_after_fees,A_all,forest,numeric__macd_ratio,0.027900978242300235
1,profitable_after_fees,A_all,forest,numeric__macd_signal_ratio,0.007288300062149977
1,profitable_after_fees,A_all,forest,numeric__macd_hist_ratio,0.091125958779222
1,profitable_after_fees,A_all,forest,numeric__relative_volume_24,0.0764228141467254
1,profitable_after_fees,A_all,forest,numeric__volume_zscore_24,0.007171815171478878
1,profitable_after_fees,A_all,forest,numeric__volume_trend_24_168,0.0
1,profitable_after_fees,A_all,forest,numeric__regime_duration,0.017188957823553532
1,profitable_after_fees,A_all,forest,numeric__regime_transition,0.0
1,profitable_after_fees,A_all,forest,numeric__hour_of_day,0.0
1,profitable_after_fees,A_all,forest,numeric__day_of_week,0.0
1,profitable_after_fees,A_all,forest,numeric__distance_high_24,0.00428208923662508
1,profitable_after_fees,A_all,forest,numeric__distance_low_24,0.007736125679810788
1,profitable_after_fees,A_all,forest,numeric__distance_high_168,0.04902493399329452
1,profitable_after_fees,A_all,forest,numeric__distance_low_168,0.017733651728692054
1,profitable_after_fees,A_all,forest,numeric__candles_since_prior_signal,0.0
1,profitable_after_fees,A_all,forest,numeric__source_synthetic,0.0
1,profitable_after_fees,A_all,forest,numeric__return_1h,0.025359662524383837
1,profitable_after_fees,A_all,forest,numeric__return_3h,0.003537234834767042
1,profitable_after_fees,A_all,forest,numeric__return_6h,0.007892035690766335
1,profitable_after_fees,A_all,forest,numeric__return_12h,0.15602947586460708
1,profitable_after_fees,A_all,forest,numeric__return_24h,0.001100960210002765
