fold,target,feature_set,model,feature,coefficient
1,profitable_after_fees,A_all,logistic,numeric__ema20_distance,7.881932158200264e-05
1,profitable_after_fees,A_all,logistic,numeric__ema50_distance,-0.0625918059856372
1,profitable_after_fees,A_all,logistic,numeric__ema_gap,-0.13614956289895946
1,profitable_after_fees,A_all,logistic,numeric__ema20_slope_6,-0.11702284734649229
1,profitable_after_fees,A_all,logistic,numeric__ema50_slope_6,-0.15361481623392403
1,profitable_after_fees,A_all,logistic,numeric__trend_efficiency_20,0.23941564625196268
1,profitable_after_fees,A_all,logistic,numeric__body_ratio,-0.17080912916255875
1,profitable_after_fees,A_all,logistic,numeric__range_ratio,0.04436189347826107
1,profitable_after_fees,A_all,logistic,numeric__body_to_range,-0.2905555714446417
1,profitable_after_fees,A_all,logistic,numeric__close_location,-0.10419317593128834
1,profitable_after_fees,A_all,logistic,numeric__atr14,-0.02182206569085268
1,profitable_after_fees,A_all,logistic,numeric__natr14,-0.02708818333731624
1,profitable_after_fees,A_all,logistic,numeric__return_std_24,-0.02062852530734722
1,profitable_after_fees,A_all,logistic,numeric__return_std_168,-0.1858918392540568
1,profitable_after_fees,A_all,logistic,numeric__volatility_percentile_720,0.134840249371049
1,profitable_after_fees,A_all,logistic,numeric__rsi14,-0.07327796947120185
1,profitable_after_fees,A_all,logistic,numeric__macd_ratio,-0.09984935006809827
1,profitable_after_fees,A_all,logistic,numeric__macd_signal_ratio,-0.14014235391010252
1,profitable_after_fees,A_all,logistic,numeric__macd_hist_ratio,-0.0036006462354130444
1,profitable_after_fees,A_all,logistic,numeric__relative_volume_24,0.049207059301281914
1,profitable_after_fees,A_all,logistic,numeric__volume_zscore_24,0.07107982321875493
1,profitable_after_fees,A_all,logistic,numeric__volume_trend_24_168,0.032742691864147064
1,profitable_after_fees,A_all,logistic,numeric__regime_duration,-0.21974414032096276
1,profitable_after_fees,A_all,logistic,numeric__regime_transition,0.24076996046489924
1,profitable_after_fees,A_all,logistic,numeric__hour_of_day,-0.04330663886077929
1,profitable_after_fees,A_all,logistic,numeric__day_of_week,-0.14733851790264094
1,profitable_after_fees,A_all,logistic,numeric__distance_high_24,-0.018149173146807623
1,profitable_after_fees,A_all,logistic,numeric__distance_low_24,-0.14646664194516504
1,profitable_after_fees,A_all,logistic,numeric__distance_high_168,-0.1674031290334362
1,profitable_after_fees,A_all,logistic,numeric__distance_low_168,-0.0064243117314679845
1,profitable_after_fees,A_all,logistic,numeric__candles_since_prior_signal,0.20756120763281946
1,profitable_after_fees,A_all,logistic,numeric__source_synthetic,0.0
1,profitable_after_fees,A_all,logistic,numeric__return_1h,-0.17003981762736725
1,profitable_after_fees,A_all,logistic,numeric__return_3h,0.0649681313811998
1,profitable_after_fees,A_all,logistic,numeric__return_6h,0.11424452418331206
1,profitable_after_fees,A_all,logistic,numeric__return_12h,-0.15729610219874132
1,profitable_after_fees,A_all,logistic,numeric__return_24h,0.1907301285416974
1,profitable_after_fees,A_all,logistic,numeric__return_72h,-0.08216084549616458
1,profitable_after_fees,A_all,logistic,category__pair_BTC/USDT,0.014883673883214677
1,profitable_after_fees,A_all,logistic,category__pair_ETH/USDT,-0.01492698287308155
1,profitable_after_fees,A_all,logistic,category__regime_LOW_VOLATILITY,0.06761627024043826
1,profitable_after_fees,A_all,logistic,category__regime_RANGE,-0.16101437976613306
1,profitable_after_fees,A_all,logistic,category__regime_TREND_DOWN,0.060982535694439746
1,profitable_after_fees,A_all,logistic,category__regime_TREND_UP,0.032372264841388144
1,profitable_after_fees,B_reduced,logistic,numeric__ema20_distance,-0.009677981931265787
1,profitable_after_fees,B_reduced,logistic,numeric__ema50_distance,-0.06650574420776197
1,profitable_after_fees,B_reduced,logistic,numeric__ema_gap,-0.12991748821756613
1,profitable_after_fees,B_reduced,logistic,numeric__ema20_slope_6,-0.11162175331843345
1,profitable_after_fees,B_reduced,logistic,numeric__ema50_slope_6,-0.14766039516137391
1,profitable_after_fees,B_reduced,logistic,numeric__trend_efficiency_20,0.23624046470266893
1,profitable_after_fees,B_reduced,logistic,numeric__range_ratio,0.04699145254749301
1,profitable_after_fees,B_reduced,logistic,numeric__body_to_range,-0.2890534625413904
1,profitable_after_fees,B_reduced,logistic,numeric__close_location,-0.1256439029099363
1,profitable_after_fees,B_reduced,logistic,numeric__natr14,-0.027770890933357693
1,profitable_after_fees,B_reduced,logistic,numeric__return_std_24,-0.022748159472948046
1,profitable_after_fees,B_reduced,logistic,numeric__return_std_168,-0.18262700643205973
1,profitable_after_fees,B_reduced,logistic,numeric__volatility_percentile_720,0.13566216089268207
1,profitable_after_fees,B_reduced,logistic,numeric__rsi14,-0.08289287319673744
1,profitable_after_fees,B_reduced,logistic,numeric__macd_ratio,-0.09392581259908017
1,profitable_after_fees,B_reduced,logistic,numeric__macd_signal_ratio,-0.13521192322382017
1,profitable_after_fees,B_reduced,logistic,numeric__relative_volume_24,0.05446016875467048
1,profitable_after_fees,B_reduced,logistic,numeric__volume_zscore_24,0.06832555270940557
1,profitable_after_fees,B_reduced,logistic,numeric__volume_trend_24_168,0.029036055847624906
1,profitable_after_fees,B_reduced,logistic,numeric__regime_duration,-0.22590213369080564
1,profitable_after_fees,B_reduced,logistic,numeric__regime_transition,0.24029902129066397
1,profitable_after_fees,B_reduced,logistic,numeric__hour_of_day,-0.03933854831189975
1,profitable_after_fees,B_reduced,logistic,numeric__day_of_week,-0.15031707466372388
1,profitable_after_fees,B_reduced,logistic,numeric__distance_high_24,-0.024120348857786647
1,profitable_after_fees,B_reduced,logistic,numeric__distance_low_24,-0.15261150543885907
1,profitable_after_fees,B_reduced,logistic,numeric__distance_high_168,-0.17400228359444012
1,profitable_after_fees,B_reduced,logistic,numeric__distance_low_168,-0.005092111232431489
1,profitable_after_fees,B_reduced,logistic,numeric__candles_since_prior_signal,0.20021876223602936
1,profitable_after_fees,B_reduced,logistic,numeric__return_1h,-0.23084282026150024
1,profitable_after_fees,B_reduced,logistic,numeric__return_3h,0.053152377423129185
1,profitable_after_fees,B_reduced,logistic,numeric__return_6h,0.10847841938245435
1,profitable_after_fees,B_reduced,logistic,numeric__return_12h,-0.1621683131329664
1,profitable_after_fees,B_reduced,logistic,numeric__return_24h,0.19012046851386616
1,profitable_after_fees,B_reduced,logistic,numeric__return_72h,-0.07872140933651295
1,profitable_after_fees,B_reduced,logistic,category__pair_BTC/USDT,0.01552255364334431
1,profitable_after_fees,B_reduced,logistic,category__pair_ETH/USDT,-0.015413687750384477
1,profitable_after_fees,B_reduced,logistic,category__regime_LOW_VOLATILITY,0.06978623671616842
1,profitable_after_fees,B_reduced,logistic,category__regime_RANGE,-0.1597120884945573
1,profitable_after_fees,B_reduced,logistic,category__regime_TREND_DOWN,0.060559471927997155
1,profitable_after_fees,B_reduced,logistic,category__regime_TREND_UP,0.02947524574335157
1,profitable_after_fees,C_price,logistic,numeric__ema20_distance,-0.0030570834663405148
1,profitable_after_fees,C_price,logistic,numeric__ema50_distance,-0.06911038274396368
1,profitable_after_fees,C_price,logistic,numeric__ema_gap,-0.14443526602519066
1,profitable_after_fees,C_price,logistic,numeric__ema20_slope_6,-0.13765535851919192
1,profitable_after_fees,C_price,logistic,numeric__ema50_slope_6,-0.17041869652212452
1,profitable_after_fees,C_price,logistic,numeric__return_1h,-0.17212616793239827
1,profitable_after_fees,C_price,logistic,numeric__return_3h,0.07300351568219382
1,profitable_after_fees,C_price,logistic,numeric__return_6h,0.10420861106890658
1,profitable_after_fees,C_price,logistic,numeric__return_12h,-0.16027775911637318
1,profitable_after_fees,C_price,logistic,numeric__return_24h,0.17641090709221974
1,profitable_after_fees,C_price,logistic,numeric__return_72h,-0.10779619851072376
1,profitable_after_fees,C_price,logistic,numeric__trend_efficiency_20,0.2849662053451945
1,profitable_after_fees,C_price,logistic,numeric__body_ratio,-0.1725575410886052
1,profitable_after_fees,C_price,logistic,numeric__range_ratio,0.04855115554943844
1,profitable_after_fees,C_price,logistic,numeric__body_to_range,-0.30829985897059586
1,profitable_after_fees,C_price,logistic,numeric__close_location,-0.08807483121399763
1,profitable_after_fees,C_price,logistic,numeric__distance_high_24,-0.0032875282609693465
1,profitable_after_fees,C_price,logistic,numeric__distance_low_24,-0.16799767699086582
1,profitable_after_fees,C_price,logistic,numeric__distance_high_168,-0.14516383638810731
1,profitable_after_fees,C_price,logistic,numeric__distance_low_168,-0.007833530411097186
1,profitable_after_fees,C_price,logistic,numeric__candles_since_prior_signal,0.19778182503843042
1,profitable_after_fees,C_price,logistic,category__pair_BTC/USDT,0.031969641044350045
1,profitable_after_fees,C_price,logistic,category__pair_ETH/USDT,-0.031960495762345595
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema20_distance,0.000814021026322538
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema50_distance,-0.06757305902794417
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema_gap,-0.14720759369285424
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema20_slope_6,-0.1295700563711187
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema50_slope_6,-0.16722176312516746
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_1h,-0.1794624041154218
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_3h,0.07200357931582395
