fold,evaluation_year,target,feature_set,model,n,prevalence,mean_probability,roc_auc,pr_auc_ap,balanced_accuracy,precision,recall,f1,brier,ece_5_bins,confusion_matrix,calibration
1,2020,profitable_after_fees,A_all,dummy,208,0.3798076923076923,0.32126696832579194,0.5,0.3798076923076923,0.5,0.0,0.0,0.0,0.23898082553592265,0.058540723981900356,"[[129, 0], [79, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 208, 'mean_probability': 0.32126696832579194, 'observed_rate': 0.3798076923076923}]"
1,2020,profitable_after_fees,A_all,logistic,208,0.3798076923076923,0.3434894038475868,0.5796290844863113,0.4652891897102063,0.5294377391816308,0.5,0.1518987341772152,0.23300970873786409,0.236962272700794,0.0561445909635561,"[[117, 12], [67, 12]]","[{'lower': 0.0, 'upper': 0.2, 'n': 25, 'mean_probability': 0.13931799267439382, 'observed_rate': 0.2}, {'lower': 0.2, 'upper': 0.4, 'n': 128, 'mean_probability': 0.30764683656826863, 'observed_rate': 0.3671875}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 47, 'mean_probability': 0.47919394983704194, 'observed_rate': 0.48936170212765956}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 5, 'mean_probability': 0.686891367813147, 'observed_rate': 0.4}, {'lower': 0.8, 'upper': 1.0, 'n': 3, 'mean_probability': 0.8758262070977118, 'observed_rate': 0.6666666666666666}]"
1,2020,profitable_after_fees,A_all,forest,208,0.3798076923076923,0.3411449280067803,0.6104405848297518,0.47581967075870846,0.5,0.0,0.0,0.0,0.22918863321486668,0.038662764300911985,"[[129, 0], [79, 0]]","[{'lower': 0.0, 'upper': 0.2, 'n': 8, 'mean_probability': 0.18714480499377414, 'observed_rate': 0.25}, {'lower': 0.2, 'upper': 0.4, 'n': 135, 'mean_probability': 0.3076146895241796, 'observed_rate': 0.3333333333333333}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 65, 'mean_probability': 0.42973851537993646, 'observed_rate': 0.49230769230769234}]"
1,2020,profitable_after_fees,A_all,hist_gradient,208,0.3798076923076923,0.34904693545989207,0.5795800215876754,0.41497776680133786,0.48964772838779314,0.3448275862068966,0.12658227848101267,0.18518518518518517,0.2380066784096488,0.05858196889951194,"[[110, 19], [69, 10]]","[{'lower': 0.0, 'upper': 0.2, 'n': 35, 'mean_probability': 0.1707741940834195, 'observed_rate': 0.2571428571428571}, {'lower': 0.2, 'upper': 0.4, 'n': 98, 'mean_probability': 0.30338020131999843, 'observed_rate': 0.3673469387755102}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 71, 'mean_probability': 0.48491570637314896, 'observed_rate': 0.4647887323943662}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 4, 'mean_probability': 0.616097725221109, 'observed_rate': 0.25}]"
1,2020,profitable_after_fees,B_reduced,dummy,208,0.3798076923076923,0.32126696832579194,0.5,0.3798076923076923,0.5,0.0,0.0,0.0,0.23898082553592265,0.058540723981900356,"[[129, 0], [79, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 208, 'mean_probability': 0.32126696832579194, 'observed_rate': 0.3798076923076923}]"
1,2020,profitable_after_fees,B_reduced,logistic,208,0.3798076923076923,0.3540951790634767,0.5962123442252969,0.48499352484772906,0.5386125012265724,0.5789473684210527,0.13924050632911392,0.22448979591836735,0.23025793157503377,0.044975707452427766,"[[121, 8], [68, 11]]","[{'lower': 0.0, 'upper': 0.2, 'n': 20, 'mean_probability': 0.14319618687962493, 'observed_rate': 0.3}, {'lower': 0.2, 'upper': 0.4, 'n': 119, 'mean_probability': 0.31116183960722404, 'observed_rate': 0.3445378151260504}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 63, 'mean_probability': 0.466080931176019, 'observed_rate': 0.4603174603174603}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 4, 'mean_probability': 0.6600683833912175, 'observed_rate': 0.25}, {'lower': 0.8, 'upper': 1.0, 'n': 2, 'mean_probability': 0.8781211983484666, 'observed_rate': 1.0}]"
1,2020,profitable_after_fees,B_reduced,forest,208,0.3798076923076923,0.34298045541615735,0.5753115494063389,0.4358746026220204,0.5,0.0,0.0,0.0,0.23342399518253906,0.036827236891535,"[[129, 0], [79, 0]]","[{'lower': 0.0, 'upper': 0.2, 'n': 3, 'mean_probability': 0.19171007236459534, 'observed_rate': 0.3333333333333333}, {'lower': 0.2, 'upper': 0.4, 'n': 150, 'mean_probability': 0.31436705029443374, 'observed_rate': 0.3466666666666667}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 55, 'mean_probability': 0.42926812664185227, 'observed_rate': 0.4727272727272727}]"
1,2020,profitable_after_fees,B_reduced,hist_gradient,208,0.3798076923076923,0.3532674565093113,0.5561279560396428,0.4030781703180263,0.5110882150917476,0.4117647058823529,0.17721518987341772,0.24778761061946902,0.2418448530953932,0.06923463607186153,"[[109, 20], [65, 14]]","[{'lower': 0.0, 'upper': 0.2, 'n': 22, 'mean_probability': 0.17689432819411843, 'observed_rate': 0.18181818181818182}, {'lower': 0.2, 'upper': 0.4, 'n': 115, 'mean_probability': 0.2969368530889058, 'observed_rate': 0.3826086956521739}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 68, 'mean_probability': 0.49392867863521145, 'observed_rate': 0.4411764705882353}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 3, 'mean_probability': 0.6176891604158645, 'observed_rate': 0.3333333333333333}]"
1,2020,profitable_after_fees,C_price_trend,dummy,208,0.3798076923076923,0.32126696832579194,0.5,0.3798076923076923,0.5,0.0,0.0,0.0,0.23898082553592265,0.058540723981900356,"[[129, 0], [79, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 208, 'mean_probability': 0.32126696832579194, 'observed_rate': 0.3798076923076923}]"
1,2020,profitable_after_fees,C_price_trend,logistic,208,0.3798076923076923,0.33115787284890974,0.5720733980963595,0.4842347058784605,0.5263467765675596,0.6666666666666666,0.0759493670886076,0.13636363636363635,0.23701038654196457,0.07147016449085614,"[[126, 3], [73, 6]]","[{'lower': 0.0, 'upper': 0.2, 'n': 19, 'mean_probability': 0.128210379241564, 'observed_rate': 0.3157894736842105}, {'lower': 0.2, 'upper': 0.4, 'n': 138, 'mean_probability': 0.31012503231746735, 'observed_rate': 0.3695652173913043}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 49, 'mean_probability': 0.45659828333338076, 'observed_rate': 0.40816326530612246}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 2, 'mean_probability': 0.6371350019186812, 'observed_rate': 1.0}]"
