feature_set,model,mean_roc_auc,median_roc_auc,worst_roc_auc,mean_pr_auc,mean_brier,mean_ece,years_roc_above_half,years_ap_above_dummy
A_all,dummy,0.5,0.5,0.5,0.35410873352072525,0.22955610257134018,0.038320598923267335,0,0
A_all,forest,0.5890590178268786,0.6065573770491803,0.5012538580246912,0.4256111450812387,0.22549219057468925,0.044253063995466094,5,4
A_all,hist_gradient,0.5536459712637909,0.5563998287671234,0.4794560185185185,0.4043001115816269,0.23181847179534146,0.06280838303759453,4,4
A_all,logistic,0.5752208887694973,0.5759493670886076,0.539304531085353,0.4231770437476269,0.23455968005257688,0.07858762249828269,5,5
B_reduced,dummy,0.5,0.5,0.5,0.35410873352072525,0.22955610257134018,0.038320598923267335,0,0
B_reduced,forest,0.5817026025563933,0.6036880927291886,0.4960455246913581,0.41738537616613414,0.22666678049742334,0.049833183064967236,4,4
B_reduced,hist_gradient,0.5686111513741382,0.589022618800581,0.5044367283950617,0.414257272443766,0.2293218915530241,0.04825940103323969,5,5
B_reduced,logistic,0.5802544992868187,0.5835235526042748,0.5426311728395061,0.43107549177722476,0.23254002409041735,0.0728015201821259,5,5
C_price_trend,dummy,0.5,0.5,0.5,0.35410873352072525,0.22955610257134018,0.038320598923267335,0,0
C_price_trend,forest,0.57823602719866,0.5779609459326857,0.5162037037037037,0.4144899779787572,0.22660716089060187,0.03735011167926948,5,4
C_price_trend,hist_gradient,0.5560853842049409,0.5562260818369149,0.4962866512345679,0.39521636762364004,0.23195282521893415,0.06102795915415119,4,4
C_price_trend,logistic,0.5580574206122264,0.5612157534246576,0.47762345679012347,0.4049655527558527,0.22979479568593505,0.05922594844112725,4,4
D_price_trend_volatility,dummy,0.5,0.5,0.5,0.35410873352072525,0.22955610257134018,0.038320598923267335,0,0
D_price_trend_volatility,forest,0.5907118611168568,0.6052399175743303,0.5118634259259259,0.4270384816205284,0.2256238833171636,0.048521276420744906,5,4
D_price_trend_volatility,hist_gradient,0.5605091427572679,0.5704503008923013,0.4943094135802469,0.4047670472193829,0.23086716828437717,0.0684697854216576,4,4
D_price_trend_volatility,logistic,0.5817380622824013,0.5800215876753998,0.5402199074074074,0.41915320736103856,0.2278322891025253,0.05753153722434,5,5
E_all_excluding_regime,dummy,0.5,0.5,0.5,0.35410873352072525,0.22955610257134018,0.038320598923267335,0,0
E_all_excluding_regime,forest,0.5871705195679795,0.6070205479452055,0.5054012345679012,0.4160315555018063,0.2259393748259538,0.03780119494850037,5,4
E_all_excluding_regime,hist_gradient,0.5539587696914774,0.5566138698630138,0.4803240740740741,0.4061987915343067,0.23191485938048167,0.0649680396896205,4,4
E_all_excluding_regime,logistic,0.5686496209618268,0.5621626925718772,0.5231481481481481,0.4140572037200575,0.23074254747168133,0.06415282959314769,5,5
F_all_excluding_calendar,dummy,0.5,0.5,0.5,0.35410873352072525,0.22955610257134018,0.038320598923267335,0,0
F_all_excluding_calendar,forest,0.5888313916275703,0.6110873287671234,0.494116512345679,0.4215392672898709,0.22582666768311171,0.04487717765777525,4,4
F_all_excluding_calendar,hist_gradient,0.5540429011112172,0.5561319775887114,0.48900462962962965,0.39469521660084406,0.2318739472584487,0.0556848357570924,4,4
F_all_excluding_calendar,logistic,0.5752223055235228,0.572214152313758,0.5442571127502633,0.4190764084642685,0.23469793394198663,0.07394151886028205,5,5
