target,feature_set,model,threshold,period,evaluation_year,trades,retention_pct,win_rate_pct,net_profit_usdt,average_trade_pct,profit_factor,expectancy_usdt,closed_subset_max_drawdown_pct,btc_net_usdt,eth_net_usdt,regime_distribution,median_yearly_net_usdt,worst_year_net_usdt,profitable_years,yearly_net_std_usdt
profitable_after_fees,A_all,dummy,0.5,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,A_all,dummy,0.55,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,A_all,dummy,0.6,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,A_all,dummy,0.65,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,A_all,dummy,0.7,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,A_all,forest,0.5,aggregate,,52,5.009633911368015,38.46153846153847,-17.443216040000003,-0.3360114641256883,0.8129867022976359,-0.3354464623076924,4.664370308353087,7.919987359999998,-25.3632034,"{'TREND_UP': 32, 'HIGH_VOLATILITY': 14, 'RANGE': 6}",-5.82004781,-13.6044317,1.0,11.98014808084158
profitable_after_fees,A_all,forest,0.55,aggregate,,17,1.6377649325626205,47.05882352941176,5.947954099999999,0.3507490957036757,1.234113449608163,0.3498796529411764,1.62185328484193,8.299844739999998,-2.35189064,"{'TREND_UP': 11, 'HIGH_VOLATILITY': 5, 'RANGE': 1}",0.0,-6.45179122,1.0,6.927303076610179
profitable_after_fees,A_all,forest,0.6,aggregate,,3,0.2890173410404624,100.0,14.98424088,5.000015427790073,,4.99474696,0.0,4.98517603,9.99906485,{'TREND_UP': 3},0.0,0.0,2.0,4.466696727965515
profitable_after_fees,A_all,forest,0.65,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,A_all,forest,0.7,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,A_all,hist_gradient,0.5,aggregate,,107,10.308285163776493,42.99065420560748,10.952438140000002,0.1025778111095074,1.0677015659658522,0.102359234953271,3.0932084089849887,11.96607149,-1.0136333500000037,"{'TREND_UP': 62, 'RANGE': 33, 'HIGH_VOLATILITY': 12}",3.49837938,-22.99865332,3.0,17.375207303835516
profitable_after_fees,A_all,hist_gradient,0.55,aggregate,,43,4.142581888246628,37.2093023255814,-3.3811228299999976,-0.0785536133846959,0.9526055839531063,-0.078630763488372,1.8393338721255457,-5.03478569,1.6536628599999998,"{'TREND_UP': 28, 'RANGE': 12, 'HIGH_VOLATILITY': 3}",1.5028143300000014,-13.47908729,3.0,8.610964803816637
profitable_after_fees,A_all,hist_gradient,0.6,aggregate,,16,1.5414258188824663,37.5,-5.173363500000002,-0.3229517103435834,0.8284741824120074,-0.3233352187500001,1.038215118000005,-5.837761090000001,0.6643975900000001,"{'TREND_UP': 11, 'RANGE': 5}",-3.01584049,-7.338446130000001,2.0,5.544433904840851
profitable_after_fees,A_all,hist_gradient,0.65,aggregate,,2,0.1926782273603083,50.0,3.03865668,1.5214012435933102,2.551330971555203,1.51932834,0.1958741710000026,-1.95874171,4.99739839,{'TREND_UP': 2},0.0,-1.95874171,1.0,2.596342276698442
profitable_after_fees,A_all,hist_gradient,0.7,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,A_all,logistic,0.5,aggregate,,123,11.84971098265896,47.15447154471545,58.61287581000001,0.476603076986597,1.3212572660435118,0.4765274456097562,2.9045549101742942,26.8301611,31.78271471000001,"{'TREND_UP': 49, 'HIGH_VOLATILITY': 48, 'RANGE': 26}",11.26860648,-10.82079807,3.0,20.070412798089
profitable_after_fees,A_all,logistic,0.55,aggregate,,81,7.803468208092486,53.086419753086425,70.03887837000002,0.8645969065847383,1.628256825860177,0.864677510740741,1.640804901071941,36.04905656,33.98982181000001,"{'HIGH_VOLATILITY': 42, 'TREND_UP': 29, 'RANGE': 10}",4.77575541,-8.6815884,4.0,20.52054451851728
profitable_after_fees,A_all,logistic,0.6,aggregate,,57,5.491329479768786,50.877192982456144,39.42949991,0.6918415317886181,1.4210103447438167,0.6917456124561403,1.7078901408020768,25.03354799,14.395951920000003,"{'HIGH_VOLATILITY': 41, 'TREND_UP': 15, 'RANGE': 1}",5.318784160000002,0.0,3.0,9.730925453369908
profitable_after_fees,A_all,logistic,0.65,aggregate,,47,4.527938342967245,46.80851063829788,12.088584399999997,0.2572753611008611,1.1351563913918072,0.2572039234042552,2.660565287264986,5.634164309999997,6.454420090000002,"{'HIGH_VOLATILITY': 39, 'TREND_UP': 7, 'RANGE': 1}",0.0,-0.2812444400000018,2.0,3.4949613694527963
profitable_after_fees,A_all,logistic,0.7,aggregate,,39,3.757225433526012,48.71794871794872,13.488806279999997,0.3459121252626559,1.1846672421989466,0.3458668276923076,1.4481099860519222,6.659249919999998,6.829556360000002,"{'HIGH_VOLATILITY': 36, 'TREND_UP': 3}",2.24398599,0.0,3.0,3.0913447067467748
profitable_after_fees,B_reduced,dummy,0.5,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
profitable_after_fees,B_reduced,dummy,0.55,aggregate,,0,0.0,,0.0,,,,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
