fold,evaluation_year,target,feature_set,model,pair,feature,ap_drop
1,2020,profitable_after_fees,A_all,logistic,ALL,ema20_distance,-0.0010418263443597309
1,2020,profitable_after_fees,A_all,logistic,ALL,ema50_distance,0.002355547944690173
1,2020,profitable_after_fees,A_all,logistic,ALL,ema_gap,0.0018679405011707468
1,2020,profitable_after_fees,A_all,logistic,ALL,ema20_slope_6,-0.009402922060402441
1,2020,profitable_after_fees,A_all,logistic,ALL,ema50_slope_6,0.0004419674450216367
1,2020,profitable_after_fees,A_all,logistic,ALL,trend_efficiency_20,0.0007214504746704079
1,2020,profitable_after_fees,A_all,logistic,ALL,range_ratio,-0.0005879960629089909
1,2020,profitable_after_fees,A_all,logistic,ALL,body_to_range,-0.007281009184556671
1,2020,profitable_after_fees,A_all,logistic,ALL,close_location,-0.0026048526653692137
1,2020,profitable_after_fees,A_all,logistic,ALL,natr14,-0.0013881280803844098
1,2020,profitable_after_fees,A_all,logistic,ALL,return_std_24,-0.0074094788653049455
1,2020,profitable_after_fees,A_all,logistic,ALL,return_std_168,0.012646298387334684
1,2020,profitable_after_fees,A_all,logistic,ALL,volatility_percentile_720,0.004843619672262822
1,2020,profitable_after_fees,A_all,logistic,ALL,rsi14,0.024612516843944516
1,2020,profitable_after_fees,A_all,logistic,ALL,macd_ratio,-0.00027747214865209147
1,2020,profitable_after_fees,A_all,logistic,ALL,macd_signal_ratio,-0.0019082090215710168
1,2020,profitable_after_fees,A_all,logistic,ALL,relative_volume_24,-0.0029646845684789445
1,2020,profitable_after_fees,A_all,logistic,ALL,volume_zscore_24,-0.0010646367106637393
1,2020,profitable_after_fees,A_all,logistic,ALL,volume_trend_24_168,-0.022330189773178077
1,2020,profitable_after_fees,A_all,logistic,ALL,regime_duration,0.04828895225567209
1,2020,profitable_after_fees,A_all,logistic,ALL,regime_transition,0.0046555366097167745
1,2020,profitable_after_fees,A_all,logistic,ALL,hour_of_day,-0.0027804911449456995
1,2020,profitable_after_fees,A_all,logistic,ALL,day_of_week,-0.0002609351464492408
1,2020,profitable_after_fees,A_all,logistic,ALL,distance_high_24,0.003705247074105263
1,2020,profitable_after_fees,A_all,logistic,ALL,distance_low_24,-0.0200381096116309
1,2020,profitable_after_fees,A_all,logistic,ALL,distance_high_168,0.023250284771089664
1,2020,profitable_after_fees,A_all,logistic,ALL,distance_low_168,-0.008080926851385525
1,2020,profitable_after_fees,A_all,logistic,ALL,candles_since_prior_signal,-0.001221553463858253
1,2020,profitable_after_fees,A_all,logistic,ALL,source_synthetic,0.0
1,2020,profitable_after_fees,A_all,logistic,ALL,pair,-0.001038330834004897
1,2020,profitable_after_fees,A_all,logistic,ALL,regime,-0.004369439002023245
1,2020,profitable_after_fees,A_all,logistic,ALL,return_1h,-3.53761864646159e-05
1,2020,profitable_after_fees,A_all,logistic,ALL,return_3h,4.626999240274025e-05
1,2020,profitable_after_fees,A_all,logistic,ALL,return_6h,-0.0002070377669728766
1,2020,profitable_after_fees,A_all,logistic,ALL,return_12h,0.004385846866082417
1,2020,profitable_after_fees,A_all,logistic,ALL,return_24h,-0.014808932034173106
1,2020,profitable_after_fees,A_all,logistic,ALL,return_72h,0.001202716699425103
1,2020,profitable_after_fees,A_all,logistic,ALL,return_168h,-0.01055832408121495
1,2020,profitable_after_fees,A_all,logistic,ALL,volatility_ratio_24_168,0.020872049686043725
1,2020,profitable_after_fees,A_all,logistic,ALL,natr_ratio_168,-0.019759359293969953
1,2020,profitable_after_fees,A_all,logistic,ALL,up_fraction_24,0.007877819950305657
1,2020,profitable_after_fees,A_all,logistic,ALL,volume_price_interaction,0.0028651485429478005
1,2020,profitable_after_fees,A_all,logistic,ALL,range_expansion_24,0.0049118424134461285
1,2020,profitable_after_fees,A_all,logistic,ALL,signal_density_168,-0.0006201927272553864
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,ema20_distance,-0.004576605805635865
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,ema50_distance,-0.007189900109145016
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,ema_gap,-0.0034717618216542068
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,ema20_slope_6,-0.0044082772554291565
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,ema50_slope_6,2.2910691769869224e-05
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,trend_efficiency_20,-0.003802714520384313
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,range_ratio,-0.0011946238357606886
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,body_to_range,-0.018537900455667205
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,close_location,-0.007255737643878528
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,natr14,0.0019069020752540689
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_std_24,0.01937265977627341
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_std_168,-0.016838287324817847
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,volatility_percentile_720,0.00301958324695184
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,rsi14,-0.005004600256705109
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,macd_ratio,-0.003571792347285293
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,macd_signal_ratio,-0.0036905298089321046
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,relative_volume_24,-0.0036675026494365306
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,volume_zscore_24,0.0122184488242242
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,volume_trend_24_168,-0.013969446397288717
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,regime_duration,0.040022586560779116
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,regime_transition,-0.011042325739768285
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,hour_of_day,0.00028824977401803453
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,day_of_week,-0.0005996325328982236
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,distance_high_24,0.04451490729942004
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,distance_low_24,-0.002452914649378709
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,distance_high_168,-0.02948340891737859
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,distance_low_168,-0.0017304180206709023
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,candles_since_prior_signal,-0.0009083350165477085
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,source_synthetic,0.0
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,pair,0.0
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,regime,-0.013269204514946342
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_1h,0.0011012528827843056
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_3h,-0.0004573283576177663
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_6h,-0.0005749680636569036
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_12h,-0.0047438713160382244
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_24h,-0.00596959483802791
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_72h,0.011692276058684151
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_168h,-0.009674180997618445
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,volatility_ratio_24_168,-0.0025622158688478427
