fold,evaluation_year,target,feature_set,model,feature,coefficient
1,2020,profitable_after_fees,A_all,logistic,numeric__ema20_distance,0.03373176475026963
1,2020,profitable_after_fees,A_all,logistic,numeric__ema50_distance,0.05755775648455662
1,2020,profitable_after_fees,A_all,logistic,numeric__ema_gap,0.07772275129767252
1,2020,profitable_after_fees,A_all,logistic,numeric__ema20_slope_6,-0.03383530605817939
1,2020,profitable_after_fees,A_all,logistic,numeric__ema50_slope_6,0.009005978365497996
1,2020,profitable_after_fees,A_all,logistic,numeric__trend_efficiency_20,0.03857919814119295
1,2020,profitable_after_fees,A_all,logistic,numeric__range_ratio,-0.006405407442755511
1,2020,profitable_after_fees,A_all,logistic,numeric__body_to_range,0.10304708548440276
1,2020,profitable_after_fees,A_all,logistic,numeric__close_location,0.10946702963838273
1,2020,profitable_after_fees,A_all,logistic,numeric__natr14,0.034317659703451506
1,2020,profitable_after_fees,A_all,logistic,numeric__return_std_24,0.11149341717085665
1,2020,profitable_after_fees,A_all,logistic,numeric__return_std_168,-0.10679214914156748
1,2020,profitable_after_fees,A_all,logistic,numeric__volatility_percentile_720,0.05446103843924516
1,2020,profitable_after_fees,A_all,logistic,numeric__rsi14,0.3020796431473808
1,2020,profitable_after_fees,A_all,logistic,numeric__macd_ratio,0.023111215539764706
1,2020,profitable_after_fees,A_all,logistic,numeric__macd_signal_ratio,-0.007608285446003691
1,2020,profitable_after_fees,A_all,logistic,numeric__relative_volume_24,-0.03390373717443093
1,2020,profitable_after_fees,A_all,logistic,numeric__volume_zscore_24,-0.0802706906920433
1,2020,profitable_after_fees,A_all,logistic,numeric__volume_trend_24_168,-0.1040492074639055
1,2020,profitable_after_fees,A_all,logistic,numeric__regime_duration,0.21233056262402764
1,2020,profitable_after_fees,A_all,logistic,numeric__regime_transition,0.10294367912217316
1,2020,profitable_after_fees,A_all,logistic,numeric__hour_of_day,0.058364155826627684
1,2020,profitable_after_fees,A_all,logistic,numeric__day_of_week,-0.0044144192365776404
1,2020,profitable_after_fees,A_all,logistic,numeric__distance_high_24,-0.3838848617659409
1,2020,profitable_after_fees,A_all,logistic,numeric__distance_low_24,-0.12563775449117892
1,2020,profitable_after_fees,A_all,logistic,numeric__distance_high_168,0.23473147675815823
1,2020,profitable_after_fees,A_all,logistic,numeric__distance_low_168,0.03480048558131422
1,2020,profitable_after_fees,A_all,logistic,numeric__candles_since_prior_signal,-0.01259222476257839
1,2020,profitable_after_fees,A_all,logistic,numeric__source_synthetic,0.0
1,2020,profitable_after_fees,A_all,logistic,numeric__return_1h,-0.1063527630445366
1,2020,profitable_after_fees,A_all,logistic,numeric__return_3h,-0.0007931390052358996
1,2020,profitable_after_fees,A_all,logistic,numeric__return_6h,-0.0010810692537197636
1,2020,profitable_after_fees,A_all,logistic,numeric__return_12h,0.08897787386510549
1,2020,profitable_after_fees,A_all,logistic,numeric__return_24h,-0.1217777804220108
1,2020,profitable_after_fees,A_all,logistic,numeric__return_72h,-0.21242678280038887
1,2020,profitable_after_fees,A_all,logistic,numeric__return_168h,0.1956237353451912
1,2020,profitable_after_fees,A_all,logistic,numeric__volatility_ratio_24_168,0.19668757556432329
1,2020,profitable_after_fees,A_all,logistic,numeric__natr_ratio_168,-0.18252838220164203
1,2020,profitable_after_fees,A_all,logistic,numeric__up_fraction_24,0.17734627087173455
1,2020,profitable_after_fees,A_all,logistic,numeric__volume_price_interaction,-0.14751520342665794
1,2020,profitable_after_fees,A_all,logistic,numeric__range_expansion_24,-0.15135973269701533
1,2020,profitable_after_fees,A_all,logistic,numeric__signal_density_168,0.10088351018328451
1,2020,profitable_after_fees,A_all,logistic,category__pair_BTC/USDT,0.01458892603657364
1,2020,profitable_after_fees,A_all,logistic,category__pair_ETH/USDT,-0.014960015260949025
1,2020,profitable_after_fees,A_all,logistic,category__regime_HIGH_VOLATILITY,-0.20679037393728095
1,2020,profitable_after_fees,A_all,logistic,category__regime_RANGE,0.04124203206752145
1,2020,profitable_after_fees,A_all,logistic,category__regime_TREND_DOWN,-0.04520040972172903
1,2020,profitable_after_fees,A_all,logistic,category__regime_TREND_UP,0.21037766236711306
1,2020,profitable_after_fees,B_reduced,logistic,numeric__ema20_distance,-0.0012336214562135908
1,2020,profitable_after_fees,B_reduced,logistic,numeric__ema50_distance,0.0006958005115358597
1,2020,profitable_after_fees,B_reduced,logistic,numeric__ema20_slope_6,-0.02388223927184129
1,2020,profitable_after_fees,B_reduced,logistic,numeric__ema50_slope_6,-0.023267767519767116
1,2020,profitable_after_fees,B_reduced,logistic,numeric__trend_efficiency_20,0.008219562731612442
1,2020,profitable_after_fees,B_reduced,logistic,numeric__range_ratio,0.04392410675913698
1,2020,profitable_after_fees,B_reduced,logistic,numeric__body_to_range,0.08642346177054419
1,2020,profitable_after_fees,B_reduced,logistic,numeric__close_location,0.08988139641181495
1,2020,profitable_after_fees,B_reduced,logistic,numeric__natr14,0.06651353495543452
1,2020,profitable_after_fees,B_reduced,logistic,numeric__return_std_24,0.17500444518869263
1,2020,profitable_after_fees,B_reduced,logistic,numeric__return_std_168,-0.06758881712209491
1,2020,profitable_after_fees,B_reduced,logistic,numeric__volatility_percentile_720,0.0843529385853415
1,2020,profitable_after_fees,B_reduced,logistic,numeric__rsi14,0.23490897617928216
1,2020,profitable_after_fees,B_reduced,logistic,numeric__macd_ratio,0.011198257377168596
1,2020,profitable_after_fees,B_reduced,logistic,numeric__relative_volume_24,-0.023878672307635594
1,2020,profitable_after_fees,B_reduced,logistic,numeric__volume_zscore_24,-0.11003077557102232
1,2020,profitable_after_fees,B_reduced,logistic,numeric__volume_trend_24_168,-0.07301237370353283
1,2020,profitable_after_fees,B_reduced,logistic,numeric__regime_duration,0.20898361031252544
1,2020,profitable_after_fees,B_reduced,logistic,numeric__regime_transition,0.09264963118564298
1,2020,profitable_after_fees,B_reduced,logistic,numeric__hour_of_day,0.06001840668665884
1,2020,profitable_after_fees,B_reduced,logistic,numeric__day_of_week,0.011717284062906895
