period,pair,regime,candles,percent
development,BTC/USDT,HIGH_VOLATILITY,76,0.8675799086757991
development,BTC/USDT,LOW_VOLATILITY,997,11.381278538812785
development,BTC/USDT,TREND_UP,1149,13.116438356164384
development,BTC/USDT,TREND_DOWN,856,9.771689497716896
development,BTC/USDT,RANGE,5682,64.86301369863014
validation,BTC/USDT,HIGH_VOLATILITY,262,2.982695810564663
validation,BTC/USDT,LOW_VOLATILITY,178,2.0264116575591986
validation,BTC/USDT,TREND_UP,1337,15.220856102003644
validation,BTC/USDT,TREND_DOWN,919,10.462204007285974
validation,BTC/USDT,RANGE,6088,69.30783242258653
development,ETH/USDT,HIGH_VOLATILITY,34,0.3881278538812785
development,ETH/USDT,LOW_VOLATILITY,557,6.358447488584475
development,ETH/USDT,TREND_UP,1263,14.417808219178083
development,ETH/USDT,TREND_DOWN,914,10.433789954337898
development,ETH/USDT,RANGE,5992,68.40182648401827
validation,ETH/USDT,HIGH_VOLATILITY,686,7.809653916211293
validation,ETH/USDT,LOW_VOLATILITY,1,0.011384335154826957
validation,ETH/USDT,TREND_UP,1136,12.932604735883423
validation,ETH/USDT,TREND_DOWN,907,10.325591985428051
validation,ETH/USDT,RANGE,6054,68.9207650273224
